id,quarter,quarter_qf,hb,hbqf,location,location_qf,admission_type,admission_type_qf,simd,simdqf,episodes,length_of_episode,average_length_of_episode,average_length_of_episode_qf,stays,length_of_stay,average_length_of_stay,average_length_of_stay_qf
1129,2018Q4,,S08000029,,S08000029,d,Elective Inpatients,,4,,211,538,2.54976303317536,,214,907,4.23831775700935,
1130,2019Q1,,S08000029,,S08000029,d,Elective Inpatients,,4,,205,410,2,,211,756,3.58293838862559,
1131,2019Q2,,S08000029,,S08000029,d,Elective Inpatients,,4,,230,429,1.86521739130435,,236,639,2.70762711864407,
1132,2019Q3,,S08000029,,S08000029,d,Elective Inpatients,,4,,236,394,1.66949152542373,,236,554,2.34745762711864,
1133,2019Q4,,S08000029,,S08000029,d,Elective Inpatients,,4,,235,430,1.82978723404255,,236,561,2.3771186440678,
1134,2020Q1,,S08000029,,S08000029,d,Elective Inpatients,,4,,212,431,2.03301886792453,,221,720,3.2579185520362,
1135,2020Q2,,S08000029,,S08000029,d,Elective Inpatients,,4,,48,58,1.20833333333333,,50,103,2.06,
1136,2020Q3,,S08000029,,S08000029,d,Elective Inpatients,,4,,143,225,1.57342657342657,,150,348,2.32,
1137,2020Q4,,S08000029,,S08000029,d,Elective Inpatients,,4,,162,336,2.07407407407407,,164,362,2.20731707317073,
1138,2021Q1,,S08000029,,S08000029,d,Elective Inpatients,,4,,95,174,1.83157894736842,,95,205,2.15789473684211,
1139,2021Q2,p,S08000029,,S08000029,d,Elective Inpatients,,4,,192,320,1.66666666666667,,196,421,2.14795918367347,
1140,2016Q2,,S08000029,,S08000029,d,Elective Inpatients,,5,,259,495,1.91119691119691,,263,766,2.91254752851711,
1141,2016Q3,,S08000029,,S08000029,d,Elective Inpatients,,5,,230,539,2.34347826086957,,231,605,2.61904761904762,
1142,2016Q4,,S08000029,,S08000029,d,Elective Inpatients,,5,,268,564,2.1044776119403,,269,688,2.55762081784387,
1143,2017Q1,,S08000029,,S08000029,d,Elective Inpatients,,5,,205,377,1.8390243902439,,207,469,2.26570048309179,
1144,2017Q2,,S08000029,,S08000029,d,Elective Inpatients,,5,,181,439,2.42541436464088,,179,400,2.23463687150838,
1460,2021Q1,,S08000019,,V217H,,Elective Inpatients,,4,,75,119,1.58666666666667,,75,159,2.12,
1145,2017Q3,,S08000029,,S08000029,d,Elective Inpatients,,5,,202,401,1.98514851485149,,205,543,2.64878048780488,
1146,2017Q4,,S08000029,,S08000029,d,Elective Inpatients,,5,,182,370,2.03296703296703,,182,485,2.66483516483516,
1147,2018Q1,,S08000029,,S08000029,d,Elective Inpatients,,5,,182,322,1.76923076923077,,185,475,2.56756756756757,
1148,2018Q2,,S08000029,,S08000029,d,Elective Inpatients,,5,,195,409,2.0974358974359,,196,505,2.5765306122449,
1149,2018Q3,,S08000029,,S08000029,d,Elective Inpatients,,5,,180,379,2.10555555555556,,183,479,2.61748633879781,
1150,2018Q4,,S08000029,,S08000029,d,Elective Inpatients,,5,,192,422,2.19791666666667,,191,514,2.69109947643979,
1151,2019Q1,,S08000029,,S08000029,d,Elective Inpatients,,5,,216,469,2.1712962962963,,213,607,2.84976525821596,
1152,2019Q2,,S08000029,,S08000029,d,Elective Inpatients,,5,,177,252,1.42372881355932,,181,593,3.27624309392265,
1153,2019Q3,,S08000029,,S08000029,d,Elective Inpatients,,5,,202,366,1.81188118811881,,207,468,2.26086956521739,
1154,2019Q4,,S08000029,,S08000029,d,Elective Inpatients,,5,,222,485,2.18468468468468,,229,852,3.72052401746725,
1155,2020Q1,,S08000029,,S08000029,d,Elective Inpatients,,5,,182,279,1.53296703296703,,191,412,2.15706806282722,
1156,2020Q2,,S08000029,,S08000029,d,Elective Inpatients,,5,,41,91,2.21951219512195,,40,116,2.9,
1157,2020Q3,,S08000029,,S08000029,d,Elective Inpatients,,5,,132,247,1.87121212121212,,135,357,2.64444444444444,
1158,2020Q4,,S08000029,,S08000029,d,Elective Inpatients,,5,,150,380,2.53333333333333,,154,421,2.73376623376623,
1159,2021Q1,,S08000029,,S08000029,d,Elective Inpatients,,5,,74,165,2.22972972972973,,76,189,2.48684210526316,
1160,2021Q2,p,S08000029,,S08000029,d,Elective Inpatients,,5,,170,262,1.54117647058824,,169,329,1.94674556213018,
1161,2016Q2,,S08000029,,S08000029,d,Elective Inpatients,, ,:,0,8, ,z,0,21, ,z
1162,2016Q4,,S08000029,,S08000029,d,Elective Inpatients,, ,:,0,0, ,z,0,0, ,z
1163,2017Q2,,S08000029,,S08000029,d,Elective Inpatients,, ,:,5,6,1.2,,5,6,1.2,
1164,2017Q3,,S08000029,,S08000029,d,Elective Inpatients,, ,:,0,7, ,z,0,7, ,z
1165,2019Q3,,S08000029,,S08000029,d,Elective Inpatients,, ,:,0,0, ,z,0,0, ,z
1166,2019Q4,,S08000029,,S08000029,d,Elective Inpatients,, ,:,0,0, ,z,0,0, ,z
1167,2016Q2,,S08000029,,F805H,,Elective Inpatients,,1,,26,27,1.03846153846154,,28,36,1.28571428571429,
1168,2016Q3,,S08000029,,F805H,,Elective Inpatients,,1,,30,31,1.03333333333333,,35,42,1.2,
1169,2016Q4,,S08000029,,F805H,,Elective Inpatients,,1,,34,38,1.11764705882353,,36,46,1.27777777777778,
1170,2017Q1,,S08000029,,F805H,,Elective Inpatients,,1,,30,26,0.866666666666667,,31,55,1.7741935483871,
1713,2019Q2,,S08000020,,N101H,,Elective Inpatients,, ,:,0,51, ,z,0,51, ,z
1171,2017Q2,,S08000029,,F805H,,Elective Inpatients,,1,,22,18,0.818181818181818,,24,26,1.08333333333333,
1172,2017Q3,,S08000029,,F805H,,Elective Inpatients,,1,,32,29,0.90625,,34,34,1,
1173,2017Q4,,S08000029,,F805H,,Elective Inpatients,,1,,25,18,0.72,,30,29,0.966666666666667,
1174,2018Q1,,S08000029,,F805H,,Elective Inpatients,,1,,38,33,0.868421052631579,,40,47,1.175,
1175,2018Q2,,S08000029,,F805H,,Elective Inpatients,,1,,25,27,1.08,,28,48,1.71428571428571,
1176,2018Q3,,S08000029,,F805H,,Elective Inpatients,,1,,20,17,0.85,,21,21,1,
1177,2018Q4,,S08000029,,F805H,,Elective Inpatients,,1,,25,23,0.92,,26,23,0.884615384615385,
1178,2019Q1,,S08000029,,F805H,,Elective Inpatients,,1,,20,22,1.1,,25,39,1.56,
1179,2019Q2,,S08000029,,F805H,,Elective Inpatients,,1,,26,23,0.884615384615385,,26,23,0.884615384615385,
1180,2019Q3,,S08000029,,F805H,,Elective Inpatients,,1,,20,19,0.95,,20,21,1.05,
1181,2019Q4,,S08000029,,F805H,,Elective Inpatients,,1,,30,27,0.9,,30,27,0.9,
1182,2020Q1,,S08000029,,F805H,,Elective Inpatients,,1,,32,28,0.875,,34,30,0.88235294117647,
1183,2020Q3,,S08000029,,F805H,,Elective Inpatients,,1,,15,10,0.666666666666667,,13,10,0.769230769230769,
1184,2020Q4,,S08000029,,F805H,,Elective Inpatients,,1,,25,20,0.8,,23,21,0.91304347826087,
1185,2021Q1,,S08000029,,F805H,,Elective Inpatients,,1,,20,19,0.95,,19,20,1.05263157894737,
1186,2021Q2,p,S08000029,,F805H,,Elective Inpatients,,1,,38,36,0.947368421052632,,39,70,1.7948717948718,
1187,2016Q2,,S08000029,,F805H,,Elective Inpatients,,2,,33,35,1.06060606060606,,34,98,2.88235294117647,
1188,2016Q3,,S08000029,,F805H,,Elective Inpatients,,2,,30,29,0.966666666666667,,30,39,1.3,
1189,2016Q4,,S08000029,,F805H,,Elective Inpatients,,2,,30,32,1.06666666666667,,35,37,1.05714285714286,
1190,2017Q1,,S08000029,,F805H,,Elective Inpatients,,2,,25,30,1.2,,30,38,1.26666666666667,
1191,2017Q2,,S08000029,,F805H,,Elective Inpatients,,2,,30,66,2.2,,30,76,2.53333333333333,
1192,2017Q3,,S08000029,,F805H,,Elective Inpatients,,2,,43,35,0.813953488372093,,43,35,0.813953488372093,
1193,2017Q4,,S08000029,,F805H,,Elective Inpatients,,2,,25,24,0.96,,30,37,1.23333333333333,
1194,2018Q1,,S08000029,,F805H,,Elective Inpatients,,2,,30,39,1.3,,35,41,1.17142857142857,
1195,2018Q2,,S08000029,,F805H,,Elective Inpatients,,2,,30,37,1.23333333333333,,33,40,1.21212121212121,
1196,2018Q3,,S08000029,,F805H,,Elective Inpatients,,2,,25,36,1.44,,30,49,1.63333333333333,
1197,2018Q4,,S08000029,,F805H,,Elective Inpatients,,2,,35,36,1.02857142857143,,35,45,1.28571428571429,
1198,2019Q1,,S08000029,,F805H,,Elective Inpatients,,2,,30,36,1.2,,35,48,1.37142857142857,
1199,2019Q2,,S08000029,,F805H,,Elective Inpatients,,2,,40,40,1,,40,43,1.075,
1200,2019Q3,,S08000029,,F805H,,Elective Inpatients,,2,,30,29,0.966666666666667,,31,29,0.935483870967742,
1201,2019Q4,,S08000029,,F805H,,Elective Inpatients,,2,,38,63,1.65789473684211,,40,71,1.775,
1202,2020Q1,,S08000029,,F805H,,Elective Inpatients,,2,,25,24,0.96,,27,30,1.11111111111111,
1203,2020Q3,,S08000029,,F805H,,Elective Inpatients,,2,,15,15,1,,19,27,1.42105263157895,
1204,2020Q4,,S08000029,,F805H,,Elective Inpatients,,2,,22,22,1,,20,22,1.1,
1205,2021Q1,,S08000029,,F805H,,Elective Inpatients,,2,,20,20,1,,20,21,1.05,
1206,2021Q2,p,S08000029,,F805H,,Elective Inpatients,,2,,25,24,0.96,,26,42,1.61538461538462,
1207,2016Q2,,S08000029,,F805H,,Elective Inpatients,,3,,45,40,0.888888888888889,,44,49,1.11363636363636,
1208,2016Q3,,S08000029,,F805H,,Elective Inpatients,,3,,37,35,0.945945945945946,,40,247,6.175,
1209,2016Q4,,S08000029,,F805H,,Elective Inpatients,,3,,35,38,1.08571428571429,,37,45,1.21621621621622,
1210,2017Q1,,S08000029,,F805H,,Elective Inpatients,,3,,20,16,0.8,,23,45,1.95652173913043,
1211,2017Q2,,S08000029,,F805H,,Elective Inpatients,,3,,30,21,0.7,,30,24,0.8,
1212,2017Q3,,S08000029,,F805H,,Elective Inpatients,,3,,30,33,1.1,,35,40,1.14285714285714,
1213,2017Q4,,S08000029,,F805H,,Elective Inpatients,,3,,22,16,0.727272727272727,,26,64,2.46153846153846,
1214,2018Q1,,S08000029,,F805H,,Elective Inpatients,,3,,25,25,1,,26,30,1.15384615384615,
1215,2018Q2,,S08000029,,F805H,,Elective Inpatients,,3,,40,33,0.825,,41,52,1.26829268292683,
1216,2018Q3,,S08000029,,F805H,,Elective Inpatients,,3,,28,27,0.964285714285714,,30,44,1.46666666666667,
1217,2018Q4,,S08000029,,F805H,,Elective Inpatients,,3,,25,27,1.08,,30,38,1.26666666666667,
1218,2019Q1,,S08000029,,F805H,,Elective Inpatients,,3,,33,30,0.909090909090909,,35,37,1.05714285714286,
1219,2019Q2,,S08000029,,F805H,,Elective Inpatients,,3,,39,40,1.02564102564103,,40,41,1.025,
1220,2019Q3,,S08000029,,F805H,,Elective Inpatients,,3,,28,29,1.03571428571429,,30,39,1.3,
1221,2019Q4,,S08000029,,F805H,,Elective Inpatients,,3,,35,33,0.942857142857143,,35,35,1,
1222,2020Q1,,S08000029,,F805H,,Elective Inpatients,,3,,20,24,1.2,,24,117,4.875,
1223,2020Q3,,S08000029,,F805H,,Elective Inpatients,,3,,21,19,0.904761904761905,,22,28,1.27272727272727,
1224,2020Q4,,S08000029,,F805H,,Elective Inpatients,,3,,26,26,1,,27,31,1.14814814814815,
1226,2021Q2,p,S08000029,,F805H,,Elective Inpatients,,3,,27,24,0.888888888888889,,30,32,1.06666666666667,
1227,2016Q2,,S08000029,,F805H,,Elective Inpatients,,4,,15,16,1.06666666666667,,20,27,1.35,
1228,2016Q3,,S08000029,,F805H,,Elective Inpatients,,4,,20,18,0.9,,23,21,0.91304347826087,
1229,2016Q4,,S08000029,,F805H,,Elective Inpatients,,4,,20,16,0.8,,22,17,0.772727272727273,
1230,2017Q1,,S08000029,,F805H,,Elective Inpatients,,4,,15,14,0.933333333333333,,15,20,1.33333333333333,
1231,2017Q2,,S08000029,,F805H,,Elective Inpatients,,4,,28,47,1.67857142857143,,25,19,0.76,
1232,2017Q3,,S08000029,,F805H,,Elective Inpatients,,4,,22,31,1.40909090909091,,23,32,1.39130434782609,
1233,2017Q4,,S08000029,,F805H,,Elective Inpatients,,4,,34,28,0.823529411764706,,35,29,0.828571428571429,
1234,2018Q1,,S08000029,,F805H,,Elective Inpatients,,4,,25,28,1.12,,30,37,1.23333333333333,
1235,2018Q2,,S08000029,,F805H,,Elective Inpatients,,4,,25,23,0.92,,26,24,0.923076923076923,
1236,2018Q3,,S08000029,,F805H,,Elective Inpatients,,4,,20,22,1.1,,20,23,1.15,
1237,2018Q4,,S08000029,,F805H,,Elective Inpatients,,4,,20,19,0.95,,25,23,0.92,
1238,2019Q1,,S08000029,,F805H,,Elective Inpatients,,4,,30,32,1.06666666666667,,30,36,1.2,
1239,2019Q2,,S08000029,,F805H,,Elective Inpatients,,4,,25,23,0.92,,25,25,1,
1240,2019Q3,,S08000029,,F805H,,Elective Inpatients,,4,,25,34,1.36,,25,34,1.36,
1241,2019Q4,,S08000029,,F805H,,Elective Inpatients,,4,,26,26,1,,25,30,1.2,
1242,2020Q1,,S08000029,,F805H,,Elective Inpatients,,4,,30,26,0.866666666666667,,28,26,0.928571428571429,
1243,2020Q3,,S08000029,,F805H,,Elective Inpatients,,4,,12,11,0.916666666666667,,15,12,0.8,
1244,2020Q4,,S08000029,,F805H,,Elective Inpatients,,4,,21,22,1.04761904761905,,20,24,1.2,
1245,2021Q1,,S08000029,,F805H,,Elective Inpatients,,4,,15,13,0.866666666666667,,13,13,1,
1246,2021Q2,p,S08000029,,F805H,,Elective Inpatients,,4,,25,19,0.76,,26,20,0.769230769230769,
1247,2016Q2,,S08000029,,F805H,,Elective Inpatients,,5,,30,28,0.933333333333333,,29,57,1.96551724137931,
1248,2016Q3,,S08000029,,F805H,,Elective Inpatients,,5,,40,36,0.9,,40,47,1.175,
1249,2016Q4,,S08000029,,F805H,,Elective Inpatients,,5,,40,41,1.025,,40,59,1.475,
1250,2017Q1,,S08000029,,F805H,,Elective Inpatients,,5,,25,20,0.8,,27,26,0.962962962962963,
1251,2017Q2,,S08000029,,F805H,,Elective Inpatients,,5,,20,105,5.25,,20,26,1.3,
1252,2017Q3,,S08000029,,F805H,,Elective Inpatients,,5,,25,26,1.04,,25,30,1.2,
1253,2017Q4,,S08000029,,F805H,,Elective Inpatients,,5,,15,15,1,,15,13,0.866666666666667,
1254,2018Q1,,S08000029,,F805H,,Elective Inpatients,,5,,35,31,0.885714285714286,,35,81,2.31428571428571,
1255,2018Q2,,S08000029,,F805H,,Elective Inpatients,,5,,20,20,1,,20,20,1,
1256,2018Q3,,S08000029,,F805H,,Elective Inpatients,,5,,15,16,1.06666666666667,,16,16,1,
1257,2018Q4,,S08000029,,F805H,,Elective Inpatients,,5,,15,16,1.06666666666667,,17,16,0.941176470588235,
1258,2019Q1,,S08000029,,F805H,,Elective Inpatients,,5,,21,21,1,,21,25,1.19047619047619,
1259,2019Q2,,S08000029,,F805H,,Elective Inpatients,,5,,20,20,1,,20,22,1.1,
1260,2019Q3,,S08000029,,F805H,,Elective Inpatients,,5,,30,30,1,,35,47,1.34285714285714,
1261,2019Q4,,S08000029,,F805H,,Elective Inpatients,,5,,25,25,1,,25,100,4,
1262,2020Q1,,S08000029,,F805H,,Elective Inpatients,,5,,20,20,1,,20,25,1.25,
1263,2020Q3,,S08000029,,F805H,,Elective Inpatients,,5,,10,14,1.4,,10,21,2.1,
1264,2020Q4,,S08000029,,F805H,,Elective Inpatients,,5,,20,19,0.95,,20,21,1.05,
1265,2021Q1,,S08000029,,F805H,,Elective Inpatients,,5,,13,16,1.23076923076923,,15,25,1.66666666666667,
1266,2021Q2,p,S08000029,,F805H,,Elective Inpatients,,5,,26,18,0.692307692307692,,26,19,0.730769230769231,
1267,2019Q4,,S08000029,,F805H,,Elective Inpatients,, ,:,0,0, ,z,0,0, ,z
1268,2016Q2,,S08000029,,F704H,,Elective Inpatients,,1,,318,732,2.30188679245283,,317,1029,3.24605678233438,
1269,2016Q3,,S08000029,,F704H,,Elective Inpatients,,1,,298,717,2.40604026845638,,304,1061,3.49013157894737,
1270,2016Q4,,S08000029,,F704H,,Elective Inpatients,,1,,260,548,2.10769230769231,,260,680,2.61538461538462,
1271,2017Q1,,S08000029,,F704H,,Elective Inpatients,,1,,305,683,2.23934426229508,,305,883,2.89508196721311,
1272,2017Q2,,S08000029,,F704H,,Elective Inpatients,,1,,254,479,1.88582677165354,,255,603,2.36470588235294,
1273,2017Q3,,S08000029,,F704H,,Elective Inpatients,,1,,270,593,2.1962962962963,,274,712,2.5985401459854,
1274,2017Q4,,S08000029,,F704H,,Elective Inpatients,,1,,237,511,2.15611814345992,,240,661,2.75416666666667,
1275,2018Q1,,S08000029,,F704H,,Elective Inpatients,,1,,235,417,1.77446808510638,,230,428,1.86086956521739,
1276,2018Q2,,S08000029,,F704H,,Elective Inpatients,,1,,269,673,2.50185873605948,,269,986,3.66542750929368,
1277,2018Q3,,S08000029,,F704H,,Elective Inpatients,,1,,263,523,1.98859315589354,,263,842,3.20152091254753,
1278,2018Q4,,S08000029,,F704H,,Elective Inpatients,,1,,245,501,2.04489795918367,,250,792,3.168,
1279,2019Q1,,S08000029,,F704H,,Elective Inpatients,,1,,260,491,1.88846153846154,,265,698,2.63396226415094,
1280,2019Q2,,S08000029,,F704H,,Elective Inpatients,,1,,253,491,1.94071146245059,,255,689,2.70196078431373,
1281,2019Q3,,S08000029,,F704H,,Elective Inpatients,,1,,270,507,1.87777777777778,,270,670,2.48148148148148,
1282,2019Q4,,S08000029,,F704H,,Elective Inpatients,,1,,270,532,1.97037037037037,,275,840,3.05454545454545,
1283,2020Q1,,S08000029,,F704H,,Elective Inpatients,,1,,240,548,2.28333333333333,,246,927,3.76829268292683,
1284,2020Q2,,S08000029,,F704H,,Elective Inpatients,,1,,65,101,1.55384615384615,,65,253,3.89230769230769,
1285,2020Q3,,S08000029,,F704H,,Elective Inpatients,,1,,170,259,1.52352941176471,,173,471,2.72254335260116,
1286,2020Q4,,S08000029,,F704H,,Elective Inpatients,,1,,175,293,1.67428571428571,,180,384,2.13333333333333,
1287,2021Q1,,S08000029,,F704H,,Elective Inpatients,,1,,105,200,1.9047619047619,,104,233,2.24038461538462,
1288,2021Q2,p,S08000029,,F704H,,Elective Inpatients,,1,,215,356,1.65581395348837,,220,479,2.17727272727273,
1289,2016Q2,,S08000029,,F704H,,Elective Inpatients,,2,,340,866,2.54705882352941,,336,1116,3.32142857142857,
1290,2016Q3,,S08000029,,F704H,,Elective Inpatients,,2,,280,623,2.225,,280,1040,3.71428571428571,
1291,2016Q4,,S08000029,,F704H,,Elective Inpatients,,2,,320,595,1.859375,,321,859,2.67601246105919,
1292,2017Q1,,S08000029,,F704H,,Elective Inpatients,,2,,310,570,1.83870967741935,,310,924,2.98064516129032,
1293,2017Q2,,S08000029,,F704H,,Elective Inpatients,,2,,276,535,1.93840579710145,,279,798,2.86021505376344,
1294,2017Q3,,S08000029,,F704H,,Elective Inpatients,,2,,315,748,2.37460317460317,,315,1029,3.26666666666667,
1295,2017Q4,,S08000029,,F704H,,Elective Inpatients,,2,,300,909,3.03,,305,1080,3.54098360655738,
1296,2018Q1,,S08000029,,F704H,,Elective Inpatients,,2,,250,474,1.896,,250,642,2.568,
1297,2018Q2,,S08000029,,F704H,,Elective Inpatients,,2,,280,560,2,,278,631,2.26978417266187,
1298,2018Q3,,S08000029,,F704H,,Elective Inpatients,,2,,285,592,2.07719298245614,,287,917,3.19512195121951,
1299,2018Q4,,S08000029,,F704H,,Elective Inpatients,,2,,265,495,1.86792452830189,,275,710,2.58181818181818,
1300,2019Q1,,S08000029,,F704H,,Elective Inpatients,,2,,264,448,1.6969696969697,,264,620,2.34848484848485,
1301,2019Q2,,S08000029,,F704H,,Elective Inpatients,,2,,261,476,1.82375478927203,,261,720,2.75862068965517,
1302,2019Q3,,S08000029,,F704H,,Elective Inpatients,,2,,264,530,2.00757575757576,,265,800,3.0188679245283,
1303,2019Q4,,S08000029,,F704H,,Elective Inpatients,,2,,294,567,1.92857142857143,,295,789,2.67457627118644,
1304,2020Q1,,S08000029,,F704H,,Elective Inpatients,,2,,265,449,1.69433962264151,,267,619,2.31835205992509,
1305,2020Q2,,S08000029,,F704H,,Elective Inpatients,,2,,75,115,1.53333333333333,,80,237,2.9625,
1306,2020Q3,,S08000029,,F704H,,Elective Inpatients,,2,,167,311,1.8622754491018,,165,490,2.96969696969697,
1307,2020Q4,,S08000029,,F704H,,Elective Inpatients,,2,,177,379,2.14124293785311,,185,468,2.52972972972973,
1308,2021Q1,,S08000029,,F704H,,Elective Inpatients,,2,,108,292,2.7037037037037,,110,363,3.3,
1309,2021Q2,p,S08000029,,F704H,,Elective Inpatients,,2,,215,359,1.66976744186047,,220,518,2.35454545454545,
1310,2016Q2,,S08000029,,F704H,,Elective Inpatients,,3,,263,576,2.19011406844106,,265,991,3.73962264150943,
1311,2016Q3,,S08000029,,F704H,,Elective Inpatients,,3,,291,848,2.91408934707904,,285,994,3.4877192982456098,
1312,2016Q4,,S08000029,,F704H,,Elective Inpatients,,3,,265,660,2.49056603773585,,265,944,3.5622641509434,
1313,2017Q1,,S08000029,,F704H,,Elective Inpatients,,3,,230,447,1.94347826086957,,234,758,3.23931623931624,
1314,2017Q2,,S08000029,,F704H,,Elective Inpatients,,3,,237,472,1.9915611814346,,242,764,3.15702479338843,
1315,2017Q3,,S08000029,,F704H,,Elective Inpatients,,3,,243,569,2.34156378600823,,243,742,3.05349794238683,
1316,2017Q4,,S08000029,,F704H,,Elective Inpatients,,3,,220,489,2.22272727272727,,225,679,3.01777777777778,
1317,2018Q1,,S08000029,,F704H,,Elective Inpatients,,3,,231,445,1.92640692640693,,230,641,2.78695652173913,
1318,2018Q2,,S08000029,,F704H,,Elective Inpatients,,3,,239,465,1.94560669456067,,238,609,2.55882352941176,
1319,2018Q3,,S08000029,,F704H,,Elective Inpatients,,3,,217,411,1.89400921658986,,220,596,2.70909090909091,
1320,2018Q4,,S08000029,,F704H,,Elective Inpatients,,3,,250,641,2.564,,255,791,3.10196078431373,
1321,2019Q1,,S08000029,,F704H,,Elective Inpatients,,3,,212,448,2.11320754716981,,210,607,2.89047619047619,
1322,2019Q2,,S08000029,,F704H,,Elective Inpatients,,3,,252,393,1.55952380952381,,258,676,2.62015503875969,
1323,2019Q3,,S08000029,,F704H,,Elective Inpatients,,3,,222,375,1.68918918918919,,230,588,2.55652173913043,
1324,2019Q4,,S08000029,,F704H,,Elective Inpatients,,3,,203,382,1.88177339901478,,207,482,2.32850241545894,
1325,2020Q1,,S08000029,,F704H,,Elective Inpatients,,3,,190,334,1.75789473684211,,200,488,2.44,
1326,2020Q2,,S08000029,,F704H,,Elective Inpatients,,3,,60,77,1.28333333333333,,65,114,1.75384615384615,
1327,2020Q3,,S08000029,,F704H,,Elective Inpatients,,3,,145,228,1.57241379310345,,150,338,2.25333333333333,
1328,2020Q4,,S08000029,,F704H,,Elective Inpatients,,3,,154,275,1.78571428571429,,155,303,1.95483870967742,
1329,2021Q1,,S08000029,,F704H,,Elective Inpatients,,3,,85,193,2.27058823529412,,85,207,2.43529411764706,
1355,2017Q1,,S08000029,,F704H,,Elective Inpatients,,5,,180,357,1.98333333333333,,180,443,2.46111111111111,
1330,2021Q2,p,S08000029,,F704H,,Elective Inpatients,,3,,173,368,2.1271676300578,,175,465,2.65714285714286,
1331,2016Q2,,S08000029,,F704H,,Elective Inpatients,,4,,210,450,2.14285714285714,,210,755,3.5952380952381,
1332,2016Q3,,S08000029,,F704H,,Elective Inpatients,,4,,185,458,2.47567567567568,,183,629,3.43715846994536,
1333,2016Q4,,S08000029,,F704H,,Elective Inpatients,,4,,170,433,2.54705882352941,,165,514,3.11515151515152,
1334,2017Q1,,S08000029,,F704H,,Elective Inpatients,,4,,220,553,2.51363636363636,,215,723,3.36279069767442,
1335,2017Q2,,S08000029,,F704H,,Elective Inpatients,,4,,200,449,2.245,,200,629,3.145,
1336,2017Q3,,S08000029,,F704H,,Elective Inpatients,,4,,216,452,2.09259259259259,,220,605,2.75,
1337,2017Q4,,S08000029,,F704H,,Elective Inpatients,,4,,207,442,2.13526570048309,,205,571,2.78536585365854,
1338,2018Q1,,S08000029,,F704H,,Elective Inpatients,,4,,194,458,2.36082474226804,,194,643,3.31443298969072,
1339,2018Q2,,S08000029,,F704H,,Elective Inpatients,,4,,230,450,1.95652173913043,,230,629,2.73478260869565,
1340,2018Q3,,S08000029,,F704H,,Elective Inpatients,,4,,192,412,2.14583333333333,,197,589,2.98984771573604,
1341,2018Q4,,S08000029,,F704H,,Elective Inpatients,,4,,190,519,2.73157894736842,,190,884,4.65263157894737,
1342,2019Q1,,S08000029,,F704H,,Elective Inpatients,,4,,175,371,2.12,,181,713,3.93922651933702,
1343,2019Q2,,S08000029,,F704H,,Elective Inpatients,,4,,206,406,1.97087378640777,,212,614,2.89622641509434,
1344,2019Q3,,S08000029,,F704H,,Elective Inpatients,,4,,210,360,1.71428571428571,,210,520,2.47619047619048,
1345,2019Q4,,S08000029,,F704H,,Elective Inpatients,,4,,209,404,1.93301435406699,,210,531,2.52857142857143,
1346,2020Q1,,S08000029,,F704H,,Elective Inpatients,,4,,182,375,2.06043956043956,,190,664,3.49473684210526,
1347,2020Q2,,S08000029,,F704H,,Elective Inpatients,,4,,45,51,1.13333333333333,,50,96,1.92,
1348,2020Q3,,S08000029,,F704H,,Elective Inpatients,,4,,131,214,1.63358778625954,,135,336,2.48888888888889,
1349,2020Q4,,S08000029,,F704H,,Elective Inpatients,,4,,141,314,2.22695035460993,,140,338,2.41428571428571,
1350,2021Q1,,S08000029,,F704H,,Elective Inpatients,,4,,80,161,2.0125,,80,192,2.4,
1351,2021Q2,p,S08000029,,F704H,,Elective Inpatients,,4,,167,301,1.80239520958084,,170,401,2.35882352941176,
1352,2016Q2,,S08000029,,F704H,,Elective Inpatients,,5,,230,467,2.0304347826087,,235,709,3.01702127659574,
1353,2016Q3,,S08000029,,F704H,,Elective Inpatients,,5,,190,503,2.64736842105263,,190,558,2.93684210526316,
1354,2016Q4,,S08000029,,F704H,,Elective Inpatients,,5,,228,523,2.29385964912281,,230,629,2.73478260869565,
1356,2017Q2,,S08000029,,F704H,,Elective Inpatients,,5,,161,328,2.03726708074534,,159,368,2.31446540880503,
1357,2017Q3,,S08000029,,F704H,,Elective Inpatients,,5,,177,375,2.11864406779661,,180,513,2.85,
1358,2017Q4,,S08000029,,F704H,,Elective Inpatients,,5,,165,356,2.15757575757576,,165,472,2.86060606060606,
1359,2018Q1,,S08000029,,F704H,,Elective Inpatients,,5,,148,266,1.7972972972973,,150,369,2.46,
1360,2018Q2,,S08000029,,F704H,,Elective Inpatients,,5,,175,389,2.22285714285714,,175,485,2.77142857142857,
1361,2018Q3,,S08000029,,F704H,,Elective Inpatients,,5,,165,363,2.2,,165,463,2.80606060606061,
1362,2018Q4,,S08000029,,F704H,,Elective Inpatients,,5,,175,393,2.24571428571429,,175,485,2.77142857142857,
1363,2019Q1,,S08000029,,F704H,,Elective Inpatients,,5,,195,448,2.2974358974359,,190,582,3.06315789473684,
1364,2019Q2,,S08000029,,F704H,,Elective Inpatients,,5,,160,232,1.45,,165,571,3.46060606060606,
1365,2019Q3,,S08000029,,F704H,,Elective Inpatients,,5,,171,323,1.88888888888889,,175,408,2.33142857142857,
1366,2019Q4,,S08000029,,F704H,,Elective Inpatients,,5,,200,460,2.3,,205,752,3.66829268292683,
1367,2020Q1,,S08000029,,F704H,,Elective Inpatients,,5,,161,254,1.5776397515528,,170,382,2.24705882352941,
