id,week_ending,hb,hbqf,admission_type,admission_type_qf,specialty,specialty_qf,number_admissions,average20182019,percent_variation
3698,20200719,S08000030,,All,d,Accident & Emergency,,89,71,25.4
3699,20200719,S08000030,,All,d,All,d,1084,1252.5,-13.5
3700,20200719,S08000030,,All,d,Cancer,,23,24,-4.2
3701,20200719,S08000030,,All,d,Cardiology,,36,36,0
3702,20200719,S08000030,,All,d,Gynaecology,,19,46,-58.7
3703,20200719,S08000030,,All,d,Medical (excl. Cardiology & Cancer),,542,542,0
3704,20200719,S08000030,,All,d,Medical (incl. Cardiology & Cancer),,601,602,-0.2
3705,20200719,S08000030,,All,d,Paediatrics (medical & surgical),,68,115.5,-41.1
3706,20200719,S08000030,,All,d,Paediatrics (medical),,68,114,-40.4
3707,20200719,S08000030,,All,d,Surgery,,304,396,-23.2
3708,20200719,S08000031,,All,d,Accident & Emergency,,77,42.5,81.2
3709,20200719,S08000031,,All,d,All,d,3258,3804.5,-14.4
3710,20200719,S08000031,,All,d,Cancer,,95,81,17.3
3711,20200719,S08000031,,All,d,Cardiology,,82,150,-45.3
3712,20200719,S08000031,,All,d,Gynaecology,,97,134.5,-27.9
3713,20200719,S08000031,,All,d,Medical (excl. Cardiology & Cancer),,1724,1832,-5.9
3714,20200719,S08000031,,All,d,Medical (incl. Cardiology & Cancer),,1901,2063,-7.9
3715,20200719,S08000031,,All,d,Paediatrics (medical & surgical),,156,184.5,-15.4
3716,20200719,S08000031,,All,d,Paediatrics (medical),,133,155,-14.2
3717,20200719,S08000031,,All,d,Paediatrics (surgical),,23,29.5,-22
3718,20200719,S08000031,,All,d,Surgery,,1027,1378.5,-25.5
3719,20200719,S08000032,,All,d,Accident & Emergency,,5,8.5,-41.2
3720,20200719,S08000032,,All,d,All,d,1337,1588,-15.8
3721,20200719,S08000032,,All,d,Cardiology,,88,63.5,38.6
3722,20200719,S08000032,,All,d,Gynaecology,,16,35,-54.3
3723,20200719,S08000032,,All,d,Medical (excl. Cardiology & Cancer),,740,842.5,-12.2
3724,20200719,S08000032,,All,d,Medical (incl. Cardiology & Cancer),,828,906,-8.6
3725,20200719,S08000032,,All,d,Paediatrics (medical & surgical),,131,181,-27.6
3726,20200719,S08000032,,All,d,Paediatrics (medical),,131,178.5,-26.6
3727,20200719,S08000032,,All,d,Surgery,,357,457.5,-22
3728,20200719,S92000003,d,All,d,Accident & Emergency,,523,401,30.4
3729,20200719,S92000003,d,All,d,All,d,12530,14643,-14.4
3730,20200719,S92000003,d,All,d,Cancer,,255,243.5,4.7
3731,20200719,S92000003,d,All,d,Cardiology,,380,433.5,-12.3
3732,20200719,S92000003,d,All,d,Community,,184,241.5,-23.8
3733,20200719,S92000003,d,All,d,Gynaecology,,260,431.5,-39.7
3734,20200719,S92000003,d,All,d,Medical (excl. Cardiology & Cancer),,6454,7018,-8
3735,20200719,S92000003,d,All,d,Medical (incl. Cardiology & Cancer),,7089,7695,-7.9
3736,20200719,S92000003,d,All,d,Paediatrics (medical & surgical),,783,1059.5,-26.1
3737,20200719,S92000003,d,All,d,Paediatrics (medical),,729,991.5,-26.5
3738,20200719,S92000003,d,All,d,Paediatrics (surgical),,54,68,-20.6
3739,20200719,S92000003,d,All,d,Surgery,,3691,4811.5,-23.3
3740,20200726,S08000015,,All,d,Accident & Emergency,,8,30.5,-73.8
3741,20200726,S08000015,,All,d,All,d,965,1059,-8.9
3742,20200726,S08000015,,All,d,Cardiology,,15,16.5,-9.1
3743,20200726,S08000015,,All,d,Medical (excl. Cardiology & Cancer),,603,603,0
3744,20200726,S08000015,,All,d,Medical (incl. Cardiology & Cancer),,618,619.5,-0.2
3745,20200726,S08000015,,All,d,Paediatrics (medical & surgical),,74,97.5,-24.1
3746,20200726,S08000015,,All,d,Paediatrics (medical),,74,97.5,-24.1
3747,20200726,S08000015,,All,d,Surgery,,265,311.5,-14.9
3748,20200726,S08000016,,All,d,All,d,220,301.5,-27
3749,20200726,S08000016,,All,d,Cardiology,,10,8.5,17.6
3750,20200726,S08000016,,All,d,Community,,17,19.5,-12.8
5501,20201025,S08000022,,All,d,Medical (excl. Cardiology & Cancer),,306,324.5,-5.7
5502,20201025,S08000022,,All,d,Medical (incl. Cardiology & Cancer),,323,343.5,-6
5503,20201025,S08000022,,All,d,Paediatrics (medical & surgical),,53,51.5,2.9
5504,20201025,S08000022,,All,d,Paediatrics (medical),,52,51.5,1
5505,20201025,S08000022,,All,d,Surgery,,204,240,-15
5506,20201025,S08000024,,All,d,Accident & Emergency,,175,126.5,38.3
5507,20201025,S08000024,,All,d,All,d,2131,2315.5,-8
5508,20201025,S08000024,,All,d,Cancer,,105,122.5,-14.3
5509,20201025,S08000024,,All,d,Cardiology,,56,78.5,-28.7
5510,20201025,S08000024,,All,d,Gynaecology,,59,60.5,-2.5
5511,20201025,S08000024,,All,d,Medical (excl. Cardiology & Cancer),,972,960,1.2
5512,20201025,S08000024,,All,d,Medical (incl. Cardiology & Cancer),,1133,1161,-2.4
5513,20201025,S08000024,,All,d,Paediatrics (medical & surgical),,134,205.5,-34.8
5514,20201025,S08000024,,All,d,Paediatrics (medical),,113,186,-39.2
5515,20201025,S08000024,,All,d,Paediatrics (surgical),,21,19.5,7.7
5516,20201025,S08000024,,All,d,Surgery,,629,761,-17.3
5517,20201025,S08000025,,All,d,All,d,41,35,17.1
5518,20201025,S08000025,,All,d,Medical (excl. Cardiology & Cancer),,32,19,68.4
5519,20201025,S08000025,,All,d,Medical (incl. Cardiology & Cancer),,32,19.5,64.1
5520,20201025,S08000025,,All,d,Surgery,,9,15.5,-41.9
5521,20201025,S08000026,,All,d,All,d,39,38,2.6
5522,20201025,S08000026,,All,d,Medical (excl. Cardiology & Cancer),,23,22.5,2.2
5523,20201025,S08000026,,All,d,Medical (incl. Cardiology & Cancer),,23,22.5,2.2
5524,20201025,S08000026,,All,d,Surgery,,16,15.5,3.2
5525,20201025,S08000028,,All,d,All,d,64,62,3.2
5526,20201025,S08000028,,All,d,Community,,13,12,8.3
5527,20201025,S08000028,,All,d,Medical (excl. Cardiology & Cancer),,27,24.5,10.2
5528,20201025,S08000028,,All,d,Medical (incl. Cardiology & Cancer),,27,25,8
5529,20201025,S08000028,,All,d,Surgery,,24,21,14.3
3757,20200726,S08000017,,All,d,Cardiology,,6,3.5,71.4
3758,20200726,S08000017,,All,d,Community,,28,28,0
3759,20200726,S08000017,,All,d,Gynaecology,,10,19.5,-48.7
3760,20200726,S08000017,,All,d,Medical (excl. Cardiology & Cancer),,200,198.5,0.8
3761,20200726,S08000017,,All,d,Medical (incl. Cardiology & Cancer),,206,202,2
3762,20200726,S08000017,,All,d,Paediatrics (medical & surgical),,23,30,-23.3
3763,20200726,S08000017,,All,d,Paediatrics (medical),,23,30,-23.3
3764,20200726,S08000017,,All,d,Surgery,,106,132.5,-20
3765,20200726,S08000019,,All,d,Accident & Emergency,,9,16,-43.8
3766,20200726,S08000019,,All,d,All,d,731,1001,-27
3767,20200726,S08000019,,All,d,Cardiology,,6,10,-40
3768,20200726,S08000019,,All,d,Gynaecology,,21,39.5,-46.8
3769,20200726,S08000019,,All,d,Medical (excl. Cardiology & Cancer),,440,571.5,-23
3770,20200726,S08000019,,All,d,Medical (incl. Cardiology & Cancer),,446,581.5,-23.3
3771,20200726,S08000019,,All,d,Paediatrics (medical & surgical),,53,86,-38.4
3772,20200726,S08000019,,All,d,Paediatrics (medical),,53,86,-38.4
3773,20200726,S08000019,,All,d,Surgery,,202,277.5,-27.2
3774,20200726,S08000020,,All,d,Accident & Emergency,,21,55.5,-62.2
3775,20200726,S08000020,,All,d,All,d,1061,1285.5,-17.5
3776,20200726,S08000020,,All,d,Cancer,,28,31.5,-11.1
3777,20200726,S08000020,,All,d,Cardiology,,34,33,3
3778,20200726,S08000020,,All,d,Community,,34,49.5,-31.3
3779,20200726,S08000020,,All,d,Gynaecology,,5,30,-83.3
3780,20200726,S08000020,,All,d,Medical (excl. Cardiology & Cancer),,473,497,-4.8
3781,20200726,S08000020,,All,d,Medical (incl. Cardiology & Cancer),,535,561.5,-4.7
3782,20200726,S08000020,,All,d,Paediatrics (medical & surgical),,78,82,-4.9
3783,20200726,S08000020,,All,d,Paediatrics (medical),,63,70.5,-10.6
3784,20200726,S08000020,,All,d,Paediatrics (surgical),,15,11.5,30.4
3785,20200726,S08000020,,All,d,Surgery,,388,506,-23.3
3786,20200726,S08000022,,All,d,All,d,668,801,-16.6
3787,20200726,S08000022,,All,d,Cardiology,,7,16,-56.2
3788,20200726,S08000022,,All,d,Community,,81,94.5,-14.3
3789,20200726,S08000022,,All,d,Gynaecology,,18,23.5,-23.4
3790,20200726,S08000022,,All,d,Medical (excl. Cardiology & Cancer),,328,319.5,2.7
3791,20200726,S08000022,,All,d,Medical (incl. Cardiology & Cancer),,339,346,-2
3792,20200726,S08000022,,All,d,Paediatrics (medical & surgical),,36,51.5,-30.1
3793,20200726,S08000022,,All,d,Paediatrics (medical),,36,51.5,-30.1
3794,20200726,S08000022,,All,d,Surgery,,194,284.5,-31.8
3795,20200726,S08000024,,All,d,Accident & Emergency,,234,146.5,59.7
3796,20200726,S08000024,,All,d,All,d,2000,2250,-11.1
3797,20200726,S08000024,,All,d,Cancer,,113,96,17.7
3798,20200726,S08000024,,All,d,Cardiology,,66,87,-24.1
3799,20200726,S08000024,,All,d,Community,,8,0,8000
3800,20200726,S08000024,,All,d,Gynaecology,,44,60,-26.7
3801,20200726,S08000024,,All,d,Medical (excl. Cardiology & Cancer),,861,967.5,-11
3802,20200726,S08000024,,All,d,Medical (incl. Cardiology & Cancer),,1040,1150.5,-9.6
3803,20200726,S08000024,,All,d,Paediatrics (medical & surgical),,100,134,-25.4
3804,20200726,S08000024,,All,d,Paediatrics (medical),,80,110.5,-27.6
3805,20200726,S08000024,,All,d,Paediatrics (surgical),,20,23.5,-14.9
3806,20200726,S08000024,,All,d,Surgery,,574,759,-24.4
3807,20200726,S08000025,,All,d,All,d,36,40,-10
3808,20200726,S08000025,,All,d,Medical (excl. Cardiology & Cancer),,23,25,-8
3809,20200726,S08000025,,All,d,Medical (incl. Cardiology & Cancer),,23,25,-8
3810,20200726,S08000025,,All,d,Surgery,,13,14.5,-10.3
3811,20200726,S08000026,,All,d,All,d,40,36.5,9.6
3812,20200726,S08000026,,All,d,Medical (excl. Cardiology & Cancer),,25,21,19
3813,20200726,S08000026,,All,d,Medical (incl. Cardiology & Cancer),,25,21,19
3814,20200726,S08000026,,All,d,Surgery,,15,15,0
3815,20200726,S08000028,,All,d,All,d,49,81.5,-39.9
3816,20200726,S08000028,,All,d,Community,,8,15.5,-48.4
3817,20200726,S08000028,,All,d,Medical (excl. Cardiology & Cancer),,24,35.5,-32.4
3818,20200726,S08000028,,All,d,Medical (incl. Cardiology & Cancer),,24,35.5,-32.4
3819,20200726,S08000028,,All,d,Surgery,,17,27,-37
3820,20200726,S08000029,,All,d,Accident & Emergency,,72,70.5,2.1
3821,20200726,S08000029,,All,d,All,d,812,912,-11
3822,20200726,S08000029,,All,d,Cardiology,,32,32,0
3823,20200726,S08000029,,All,d,Community,,18,11.5,56.5
3824,20200726,S08000029,,All,d,Gynaecology,,24,36,-33.3
3825,20200726,S08000029,,All,d,Medical (excl. Cardiology & Cancer),,388,438,-11.4
3826,20200726,S08000029,,All,d,Medical (incl. Cardiology & Cancer),,420,470,-10.6
3827,20200726,S08000029,,All,d,Paediatrics (medical & surgical),,38,68,-44.1
3828,20200726,S08000029,,All,d,Paediatrics (medical),,38,68,-44.1
3829,20200726,S08000029,,All,d,Surgery,,240,256,-6.2
3830,20200726,S08000030,,All,d,Accident & Emergency,,66,79.5,-17
3831,20200726,S08000030,,All,d,All,d,1066,1139,-6.4
3832,20200726,S08000030,,All,d,Cancer,,21,25,-16
3833,20200726,S08000030,,All,d,Cardiology,,34,28,21.4
3834,20200726,S08000030,,All,d,Community,,6,15.5,-61.3
3835,20200726,S08000030,,All,d,Gynaecology,,27,39.5,-31.6
3836,20200726,S08000030,,All,d,Medical (excl. Cardiology & Cancer),,537,509.5,5.4
3837,20200726,S08000030,,All,d,Medical (incl. Cardiology & Cancer),,592,562.5,5.2
3838,20200726,S08000030,,All,d,Paediatrics (medical & surgical),,73,101,-27.7
3839,20200726,S08000030,,All,d,Paediatrics (medical),,73,101,-27.7
3840,20200726,S08000030,,All,d,Surgery,,302,340.5,-11.3
3841,20200726,S08000031,,All,d,Accident & Emergency,,17,42.5,-60
3842,20200726,S08000031,,All,d,All,d,3118,3992,-21.9
3843,20200726,S08000031,,All,d,Cancer,,54,85.5,-36.8
3844,20200726,S08000031,,All,d,Cardiology,,99,155,-36.1
3845,20200726,S08000031,,All,d,Gynaecology,,106,124.5,-14.9
3846,20200726,S08000031,,All,d,Medical (excl. Cardiology & Cancer),,1697,1923,-11.8
3847,20200726,S08000031,,All,d,Medical (incl. Cardiology & Cancer),,1850,2163.5,-14.5
3848,20200726,S08000031,,All,d,Paediatrics (medical & surgical),,177,199.5,-11.3
3849,20200726,S08000031,,All,d,Paediatrics (medical),,144,161.5,-10.8
3850,20200726,S08000031,,All,d,Paediatrics (surgical),,33,38,-13.2
3851,20200726,S08000031,,All,d,Surgery,,968,1461,-33.7
3852,20200726,S08000032,,All,d,Accident & Emergency,,11,7,57.1
3853,20200726,S08000032,,All,d,All,d,1346,1630.5,-17.4
3854,20200726,S08000032,,All,d,Cardiology,,99,69.5,42.4
3855,20200726,S08000032,,All,d,Gynaecology,,25,39,-35.9
3856,20200726,S08000032,,All,d,Medical (excl. Cardiology & Cancer),,753,849.5,-11.4
3857,20200726,S08000032,,All,d,Medical (incl. Cardiology & Cancer),,853,919.5,-7.2
3858,20200726,S08000032,,All,d,Paediatrics (medical & surgical),,128,166,-22.9
3859,20200726,S08000032,,All,d,Paediatrics (medical),,128,164.5,-22.2
3860,20200726,S08000032,,All,d,Surgery,,329,499,-34.1
3861,20200726,S92000003,d,All,d,Accident & Emergency,,438,449,-2.4
3862,20200726,S92000003,d,All,d,All,d,12485,14941.5,-16.4
3863,20200726,S92000003,d,All,d,Cancer,,221,249,-11.2
3864,20200726,S92000003,d,All,d,Cardiology,,408,459,-11.1
3865,20200726,S92000003,d,All,d,Community,,200,234,-14.5
3866,20200726,S92000003,d,All,d,Gynaecology,,280,414,-32.4
3867,20200726,S92000003,d,All,d,Medical (excl. Cardiology & Cancer),,6470,7108,-9
3868,20200726,S92000003,d,All,d,Medical (incl. Cardiology & Cancer),,7099,7816,-9.2
3869,20200726,S92000003,d,All,d,Paediatrics (medical & surgical),,793,1042.5,-23.9
3870,20200726,S92000003,d,All,d,Paediatrics (medical),,725,968,-25.1
3871,20200726,S92000003,d,All,d,Paediatrics (surgical),,68,74.5,-8.7
3872,20200726,S92000003,d,All,d,Surgery,,3674,4983,-26.3
3873,20200802,S08000015,,All,d,Accident & Emergency,,7,35,-80
3874,20200802,S08000015,,All,d,All,d,933,1066.5,-12.5
3875,20200802,S08000015,,All,d,Cardiology,,7,18,-61.1
3876,20200802,S08000015,,All,d,Medical (excl. Cardiology & Cancer),,588,612,-3.9
3877,20200802,S08000015,,All,d,Medical (incl. Cardiology & Cancer),,595,630,-5.6
3878,20200802,S08000015,,All,d,Paediatrics (medical & surgical),,90,99.5,-9.5
3879,20200802,S08000015,,All,d,Paediatrics (medical),,90,99.5,-9.5
3880,20200802,S08000015,,All,d,Surgery,,241,302,-20.2
3881,20200802,S08000016,,All,d,All,d,198,263.5,-24.9
3882,20200802,S08000016,,All,d,Cardiology,,9,10.5,-14.3
3883,20200802,S08000016,,All,d,Community,,16,17,-5.9
3884,20200802,S08000016,,All,d,Medical (excl. Cardiology & Cancer),,99,123.5,-19.8
3885,20200802,S08000016,,All,d,Medical (incl. Cardiology & Cancer),,108,134,-19.4
3886,20200802,S08000016,,All,d,Paediatrics (medical & surgical),,21,24,-12.5
3887,20200802,S08000016,,All,d,Paediatrics (medical),,21,24,-12.5
3888,20200802,S08000016,,All,d,Surgery,,53,88.5,-40.1
3889,20200802,S08000017,,All,d,All,d,342,392.5,-12.9
3890,20200802,S08000017,,All,d,Cardiology,,8,7,14.3
3891,20200802,S08000017,,All,d,Community,,25,25,0
3892,20200802,S08000017,,All,d,Gynaecology,,9,13,-30.8
3893,20200802,S08000017,,All,d,Medical (excl. Cardiology & Cancer),,193,187,3.2
3894,20200802,S08000017,,All,d,Medical (incl. Cardiology & Cancer),,201,194,3.6
3895,20200802,S08000017,,All,d,Paediatrics (medical & surgical),,22,39.5,-44.3
3896,20200802,S08000017,,All,d,Paediatrics (medical),,22,39,-43.6
3897,20200802,S08000017,,All,d,Surgery,,85,121,-29.8
3898,20200802,S08000019,,All,d,Accident & Emergency,,6,11.5,-47.8
3899,20200802,S08000019,,All,d,All,d,657,965,-31.9
3900,20200802,S08000019,,All,d,Cardiology,,7,7,0
3901,20200802,S08000019,,All,d,Gynaecology,,21,38,-44.7
3902,20200802,S08000019,,All,d,Medical (excl. Cardiology & Cancer),,410,580.5,-29.4
3903,20200802,S08000019,,All,d,Medical (incl. Cardiology & Cancer),,417,587.5,-29
3904,20200802,S08000019,,All,d,Paediatrics (medical & surgical),,54,88,-38.6
3905,20200802,S08000019,,All,d,Paediatrics (medical),,54,87,-37.9
3906,20200802,S08000019,,All,d,Surgery,,159,240,-33.8
3907,20200802,S08000020,,All,d,Accident & Emergency,,14,59.5,-76.5
3908,20200802,S08000020,,All,d,All,d,1049,1280,-18
3909,20200802,S08000020,,All,d,Cancer,,27,36.5,-26
3910,20200802,S08000020,,All,d,Cardiology,,37,35.5,4.2
3911,20200802,S08000020,,All,d,Community,,26,52.5,-50.5
3912,20200802,S08000020,,All,d,Gynaecology,,17,26.5,-35.8
3913,20200802,S08000020,,All,d,Medical (excl. Cardiology & Cancer),,508,491,3.5
3914,20200802,S08000020,,All,d,Medical (incl. Cardiology & Cancer),,572,563,1.6
3915,20200802,S08000020,,All,d,Paediatrics (medical & surgical),,87,97.5,-10.8
3916,20200802,S08000020,,All,d,Paediatrics (medical),,77,82,-6.1
3917,20200802,S08000020,,All,d,Paediatrics (surgical),,10,15.5,-35.5
3918,20200802,S08000020,,All,d,Surgery,,333,479.5,-30.6
3919,20200802,S08000022,,All,d,All,d,680,772.5,-12
3920,20200802,S08000022,,All,d,Cancer,,6,6.5,-7.7
3921,20200802,S08000022,,All,d,Cardiology,,8,11,-27.3
3922,20200802,S08000022,,All,d,Community,,71,94,-24.5
3923,20200802,S08000022,,All,d,Gynaecology,,16,29,-44.8
3924,20200802,S08000022,,All,d,Medical (excl. Cardiology & Cancer),,348,316.5,10
3925,20200802,S08000022,,All,d,Medical (incl. Cardiology & Cancer),,362,334,8.4
3926,20200802,S08000022,,All,d,Paediatrics (medical & surgical),,52,50.5,3
3927,20200802,S08000022,,All,d,Paediatrics (medical),,51,50,2
3928,20200802,S08000022,,All,d,Surgery,,178,265,-32.8
3929,20200802,S08000024,,All,d,Accident & Emergency,,219,127,72.4
3930,20200802,S08000024,,All,d,All,d,2033,2233,-9
3931,20200802,S08000024,,All,d,Cancer,,103,91,13.2
3932,20200802,S08000024,,All,d,Cardiology,,74,69,7.2
3933,20200802,S08000024,,All,d,Community,,8,0,8000
3934,20200802,S08000024,,All,d,Gynaecology,,33,64,-48.4
3935,20200802,S08000024,,All,d,Medical (excl. Cardiology & Cancer),,913,959,-4.8
3936,20200802,S08000024,,All,d,Medical (incl. Cardiology & Cancer),,1090,1119,-2.6
3937,20200802,S08000024,,All,d,Paediatrics (medical & surgical),,125,135.5,-7.7
3938,20200802,S08000024,,All,d,Paediatrics (medical),,100,114.5,-12.7
3939,20200802,S08000024,,All,d,Paediatrics (surgical),,25,21,19
3940,20200802,S08000024,,All,d,Surgery,,558,786.5,-29.1
3941,20200802,S08000025,,All,d,All,d,39,33.5,16.4
3942,20200802,S08000025,,All,d,Medical (excl. Cardiology & Cancer),,23,19,21.1
3943,20200802,S08000025,,All,d,Medical (incl. Cardiology & Cancer),,23,19.5,17.9
3944,20200802,S08000025,,All,d,Surgery,,15,13.5,11.1
3945,20200802,S08000026,,All,d,All,d,46,39.5,16.5
3946,20200802,S08000026,,All,d,Medical (excl. Cardiology & Cancer),,32,20,60
3947,20200802,S08000026,,All,d,Medical (incl. Cardiology & Cancer),,32,20,60
3948,20200802,S08000026,,All,d,Surgery,,14,19.5,-28.2
3949,20200802,S08000028,,All,d,All,d,56,86,-34.9
3950,20200802,S08000028,,All,d,Community,,13,14,-7.1
3951,20200802,S08000028,,All,d,Medical (excl. Cardiology & Cancer),,27,37,-27
3952,20200802,S08000028,,All,d,Medical (incl. Cardiology & Cancer),,27,37,-27
3953,20200802,S08000028,,All,d,Surgery,,15,32,-53.1
3954,20200802,S08000029,,All,d,Accident & Emergency,,68,63,7.9
3955,20200802,S08000029,,All,d,All,d,780,885,-11.9
3956,20200802,S08000029,,All,d,Cardiology,,35,27,29.6
3957,20200802,S08000029,,All,d,Community,,10,13.5,-25.9
3958,20200802,S08000029,,All,d,Gynaecology,,45,28.5,57.9
3959,20200802,S08000029,,All,d,Medical (excl. Cardiology & Cancer),,363,423,-14.2
3960,20200802,S08000029,,All,d,Medical (incl. Cardiology & Cancer),,398,450,-11.6
3961,20200802,S08000029,,All,d,Paediatrics (medical & surgical),,34,76,-55.3
3962,20200802,S08000029,,All,d,Paediatrics (medical),,33,76,-56.6
3963,20200802,S08000029,,All,d,Surgery,,225,254,-11.4
3964,20200802,S08000030,,All,d,Accident & Emergency,,77,63,22.2
3965,20200802,S08000030,,All,d,All,d,1057,1178.5,-10.3
3966,20200802,S08000030,,All,d,Cancer,,21,28,-25
3967,20200802,S08000030,,All,d,Cardiology,,39,37,5.4
3968,20200802,S08000030,,All,d,Gynaecology,,28,43,-34.9
3969,20200802,S08000030,,All,d,Medical (excl. Cardiology & Cancer),,533,509.5,4.6
3970,20200802,S08000030,,All,d,Medical (incl. Cardiology & Cancer),,593,574.5,3.2
3971,20200802,S08000030,,All,d,Paediatrics (medical & surgical),,87,105,-17.1
3972,20200802,S08000030,,All,d,Paediatrics (medical),,87,104.5,-16.7
3973,20200802,S08000030,,All,d,Surgery,,269,375.5,-28.4
3974,20200802,S08000031,,All,d,Accident & Emergency,,11,40,-72.5
3975,20200802,S08000031,,All,d,All,d,3249,4031,-19.4
3976,20200802,S08000031,,All,d,Cancer,,66,86,-23.3
3977,20200802,S08000031,,All,d,Cardiology,,102,158,-35.4
3978,20200802,S08000031,,All,d,Gynaecology,,103,131,-21.4
3979,20200802,S08000031,,All,d,Medical (excl. Cardiology & Cancer),,1722,1926,-10.6
3980,20200802,S08000031,,All,d,Medical (incl. Cardiology & Cancer),,1890,2170,-12.9
3981,20200802,S08000031,,All,d,Paediatrics (medical & surgical),,188,233.5,-19.5
3982,20200802,S08000031,,All,d,Paediatrics (medical),,152,191,-20.4
3983,20200802,S08000031,,All,d,Paediatrics (surgical),,36,42.5,-15.3
3984,20200802,S08000031,,All,d,Surgery,,1057,1454,-27.3
3985,20200802,S08000032,,All,d,Accident & Emergency,,12,4.5,166.7
3986,20200802,S08000032,,All,d,All,d,1378,1687.5,-18.3
3987,20200802,S08000032,,All,d,Cardiology,,86,82,4.9
3988,20200802,S08000032,,All,d,Gynaecology,,18,40.5,-55.6
3989,20200802,S08000032,,All,d,Medical (excl. Cardiology & Cancer),,768,880.5,-12.8
3990,20200802,S08000032,,All,d,Medical (incl. Cardiology & Cancer),,854,963.5,-11.4
3991,20200802,S08000032,,All,d,Paediatrics (medical & surgical),,135,178,-24.2
3992,20200802,S08000032,,All,d,Paediatrics (medical),,135,178,-24.2
3993,20200802,S08000032,,All,d,Surgery,,358,501,-28.5
3994,20200802,S92000003,d,All,d,Accident & Emergency,,414,403.5,2.6
3995,20200802,S92000003,d,All,d,All,d,12497,14914,-16.2
3996,20200802,S92000003,d,All,d,Cancer,,223,249.5,-10.6
3997,20200802,S92000003,d,All,d,Cardiology,,412,462,-10.8
3998,20200802,S92000003,d,All,d,Community,,172,232.5,-26
3999,20200802,S92000003,d,All,d,Gynaecology,,291,414.5,-29.8
4000,20200802,S92000003,d,All,d,Medical (excl. Cardiology & Cancer),,6527,7084.5,-7.9
4251,20200816,S08000032,,All,d,All,d,1463,1714.5,-14.7
4252,20200816,S08000032,,All,d,Cardiology,,95,77.5,22.6
4253,20200816,S08000032,,All,d,Gynaecology,,31,42.5,-27.1
4254,20200816,S08000032,,All,d,Medical (excl. Cardiology & Cancer),,790,916,-13.8
4255,20200816,S08000032,,All,d,Medical (incl. Cardiology & Cancer),,887,995,-10.9
4256,20200816,S08000032,,All,d,Paediatrics (medical & surgical),,143,182.5,-21.6
4257,20200816,S08000032,,All,d,Paediatrics (medical),,143,181.5,-21.2
4258,20200816,S08000032,,All,d,Surgery,,390,489,-20.2
4259,20200816,S92000003,d,All,d,Accident & Emergency,,455,415.5,9.5
4260,20200816,S92000003,d,All,d,All,d,13014,15258,-14.7
4261,20200816,S92000003,d,All,d,Cancer,,237,230.5,2.8
4262,20200816,S92000003,d,All,d,Cardiology,,422,479.5,-12
4263,20200816,S92000003,d,All,d,Community,,184,222,-17.1
4264,20200816,S92000003,d,All,d,Gynaecology,,315,432.5,-27.2
4265,20200816,S92000003,d,All,d,Medical (excl. Cardiology & Cancer),,6536,7240.5,-9.7
4266,20200816,S92000003,d,All,d,Medical (incl. Cardiology & Cancer),,7195,7950.5,-9.5
4267,20200816,S92000003,d,All,d,Paediatrics (medical & surgical),,964,1155,-16.5
4268,20200816,S92000003,d,All,d,Paediatrics (medical),,876,1077.5,-18.7
4269,20200816,S92000003,d,All,d,Paediatrics (surgical),,88,77.5,13.5
4270,20200816,S92000003,d,All,d,Surgery,,3901,5079.5,-23.2
4271,20200823,S08000015,,All,d,Accident & Emergency,,6,21.5,-72.1
4272,20200823,S08000015,,All,d,All,d,1017,1071.5,-5.1
4009,20200809,S08000015,,All,d,Medical (excl. Cardiology & Cancer),,605,604,0.2
4010,20200809,S08000015,,All,d,Medical (incl. Cardiology & Cancer),,622,626,-0.6
4011,20200809,S08000015,,All,d,Paediatrics (medical & surgical),,68,97.5,-30.3
4012,20200809,S08000015,,All,d,Paediatrics (medical),,68,97.5,-30.3
4013,20200809,S08000015,,All,d,Surgery,,263,331,-20.5
4014,20200809,S08000016,,All,d,All,d,177,267.5,-33.8
4015,20200809,S08000016,,All,d,Cardiology,,8,6.5,23.1
4016,20200809,S08000016,,All,d,Community,,14,14,0
4017,20200809,S08000016,,All,d,Medical (excl. Cardiology & Cancer),,92,132.5,-30.6
4018,20200809,S08000016,,All,d,Medical (incl. Cardiology & Cancer),,100,139,-28.1
4019,20200809,S08000016,,All,d,Paediatrics (medical & surgical),,18,29,-37.9
4020,20200809,S08000016,,All,d,Paediatrics (medical),,18,29,-37.9
4021,20200809,S08000016,,All,d,Surgery,,45,85.5,-47.4
4022,20200809,S08000017,,All,d,All,d,343,395,-13.2
4023,20200809,S08000017,,All,d,Community,,22,25.5,-13.7
4024,20200809,S08000017,,All,d,Gynaecology,,11,14.5,-24.1
4025,20200809,S08000017,,All,d,Medical (excl. Cardiology & Cancer),,186,189,-1.6
4026,20200809,S08000017,,All,d,Medical (incl. Cardiology & Cancer),,190,195,-2.6
4027,20200809,S08000017,,All,d,Paediatrics (medical & surgical),,19,27.5,-30.9
4028,20200809,S08000017,,All,d,Paediatrics (medical),,19,27.5,-30.9
4029,20200809,S08000017,,All,d,Surgery,,101,132.5,-23.8
4030,20200809,S08000019,,All,d,Accident & Emergency,,8,16,-50
4031,20200809,S08000019,,All,d,All,d,630,1031.5,-38.9
4032,20200809,S08000019,,All,d,Cardiology,,7,17.5,-60
4033,20200809,S08000019,,All,d,Gynaecology,,34,52.5,-35.2
