year,quarter,week_ending,hb,admission_type,specialty,number_admissions,average20182019,percent_variation
2021,3,2021-07-18,S08000019,All,Surgery,155,273.5,-43.3
2021,3,2021-07-18,S08000020,All,Accident & Emergency,21,63.5,-66.9
2021,3,2021-07-18,S08000020,All,All,1171,1281,-8.6
2021,3,2021-07-18,S08000020,All,Cancer,39,34.5,13
2021,3,2021-07-18,S08000020,All,Cardiology,41,41,0
2021,3,2021-07-18,S08000020,All,Community,36,57,-36.8
2021,3,2021-07-18,S08000020,All,Gynaecology,23,28,-17.9
2021,3,2021-07-18,S08000020,All,Medical (excl. Cardiology & Cancer),490,498.5,-1.7
2021,3,2021-07-18,S08000020,All,Medical (incl. Cardiology & Cancer),570,574,-0.7
2021,3,2021-07-18,S08000020,All,Paediatrics (medical & surgical),86,103.5,-16.9
2021,3,2021-07-18,S08000020,All,Paediatrics (medical),76,93.5,-18.7
2021,3,2021-07-18,S08000020,All,Paediatrics (surgical),10,10,0
2021,3,2021-07-18,S08000020,All,Surgery,435,454.5,-4.3
2021,3,2021-07-18,S08000022,All,All,685,799.5,-14.3
2021,3,2021-07-18,S08000022,All,Cancer,6,7,-14.3
2021,3,2021-07-18,S08000022,All,Cardiology,17,12.5,36
2021,3,2021-07-18,S08000022,All,Community,79,95,-16.8
2021,3,2021-07-18,S08000022,All,Gynaecology,19,35.5,-46.5
2021,3,2021-07-18,S08000022,All,Medical (excl. Cardiology & Cancer),303,341,-11.1
2021,3,2021-07-18,S08000022,All,Medical (incl. Cardiology & Cancer),326,360.5,-9.6
2021,3,2021-07-18,S08000022,All,Paediatrics (medical & surgical),43,63.5,-32.3
2021,3,2021-07-18,S08000022,All,Paediatrics (medical),43,63.5,-32.3
2021,3,2021-07-18,S08000022,All,Surgery,216,245,-11.8
2021,3,2021-07-18,S08000024,All,Accident & Emergency,194,141.5,37.1
2021,3,2021-07-18,S08000024,All,All,2089,2158,-3.2
2021,3,2021-07-18,S08000024,All,Cancer,91,94.5,-3.7
2021,3,2021-07-18,S08000024,All,Cardiology,81,82,-1.2
2021,3,2021-07-18,S08000024,All,Community,7,0,8000
2021,3,2021-07-18,S08000024,All,Gynaecology,40,67,-40.3
2021,3,2021-07-18,S08000024,All,Medical (excl. Cardiology & Cancer),966,924,4.5
2021,3,2021-07-18,S08000024,All,Medical (incl. Cardiology & Cancer),1138,1100.5,3.4
2021,3,2021-07-18,S08000024,All,Paediatrics (medical & surgical),143,124.5,14.9
2021,3,2021-07-18,S08000024,All,Paediatrics (medical),115,109.5,5
2021,3,2021-07-18,S08000024,All,Paediatrics (surgical),28,15,86.7
2021,3,2021-07-18,S08000024,All,Surgery,567,724,-21.7
2021,3,2021-07-18,S08000025,All,All,46,36.5,26
2021,3,2021-07-18,S08000025,All,Medical (excl. Cardiology & Cancer),23,23,0
2021,3,2021-07-18,S08000025,All,Medical (incl. Cardiology & Cancer),23,23.5,-2.1
2021,3,2021-07-18,S08000025,All,Surgery,22,11.5,91.3
2021,3,2021-07-18,S08000026,All,All,36,40,-10
2021,3,2021-07-18,S08000026,All,Medical (excl. Cardiology & Cancer),24,20.5,17.1
2021,3,2021-07-18,S08000026,All,Medical (incl. Cardiology & Cancer),24,20.5,17.1
2021,3,2021-07-18,S08000026,All,Surgery,12,19.5,-38.5
2021,3,2021-07-18,S08000028,All,All,62,73,-15.1
2021,3,2021-07-18,S08000028,All,Community,11,11.5,-4.3
2021,3,2021-07-18,S08000028,All,Medical (excl. Cardiology & Cancer),33,34,-2.9
2021,3,2021-07-18,S08000028,All,Medical (incl. Cardiology & Cancer),33,34,-2.9
2021,3,2021-07-18,S08000028,All,Surgery,16,24.5,-34.7
2021,3,2021-07-18,S08000029,All,Accident & Emergency,76,68.5,10.9
2021,3,2021-07-18,S08000029,All,All,924,908.5,1.7
2021,3,2021-07-18,S08000029,All,Cardiology,19,33.5,-43.3
2021,3,2021-07-18,S08000029,All,Community,17,13,30.8
2021,3,2021-07-18,S08000029,All,Gynaecology,33,33,0
2021,3,2021-07-18,S08000029,All,Medical (excl. Cardiology & Cancer),447,460,-2.8
2021,3,2021-07-18,S08000029,All,Medical (incl. Cardiology & Cancer),466,495,-5.9
2021,3,2021-07-18,S08000029,All,Paediatrics (medical & surgical),87,70.5,23.4
2021,3,2021-07-18,S08000029,All,Paediatrics (medical),87,70.5,23.4
2021,3,2021-07-18,S08000029,All,Surgery,245,228.5,7.2
2021,3,2021-07-18,S08000030,All,Accident & Emergency,82,59,39
2021,3,2021-07-18,S08000030,All,All,1149,1150.5,-0.1
2021,3,2021-07-18,S08000030,All,Cancer,16,21,-23.8
2021,3,2021-07-18,S08000030,All,Cardiology,54,29,86.2
2021,3,2021-07-18,S08000030,All,Gynaecology,22,42,-47.6
2021,3,2021-07-25,S08000020,All,Surgery,419,478.5,-12.4
2021,3,2021-07-18,S08000030,All,Medical (excl. Cardiology & Cancer),545,526,3.6
2021,3,2021-07-18,S08000030,All,Medical (incl. Cardiology & Cancer),615,576,6.8
2021,3,2021-07-18,S08000030,All,Paediatrics (medical & surgical),106,103,2.9
2021,3,2021-07-18,S08000030,All,Paediatrics (medical),106,101,5
2021,3,2021-07-18,S08000030,All,Surgery,320,353.5,-9.5
2021,3,2021-07-18,S08000031,All,Accident & Emergency,47,43,9.3
2021,3,2021-07-18,S08000031,All,All,3639,4003.5,-9.1
2021,3,2021-07-18,S08000031,All,Cancer,86,96.5,-10.9
2021,3,2021-07-18,S08000031,All,Cardiology,124,151,-17.9
2021,1,2021-01-17,S08000028,Emergency,Medical (incl. Cardiology & Cancer),33,37,-10.8
2021,1,2021-01-17,S08000028,Emergency,Surgery,10,7,42.9
2021,1,2021-01-17,S08000029,Emergency,Accident & Emergency,42,50,-16
2021,1,2021-01-17,S08000029,Emergency,All,707,820.5,-13.8
2021,1,2021-01-17,S08000029,Emergency,Cardiology,29,29,0
2021,1,2021-01-17,S08000029,Emergency,Community,6,10.5,-42.9
2021,1,2021-01-17,S08000029,Emergency,Gynaecology,20,15.5,29
2021,1,2021-01-17,S08000029,Emergency,Medical (excl. Cardiology & Cancer),410,467,-12.2
2021,1,2021-01-17,S08000029,Emergency,Medical (incl. Cardiology & Cancer),439,496,-11.5
2021,1,2021-01-17,S08000029,Emergency,Paediatrics (medical & surgical),44,91.5,-51.9
2021,1,2021-01-17,S08000029,Emergency,Paediatrics (medical),43,91.5,-53
2021,1,2021-01-17,S08000029,Emergency,Surgery,156,156.5,-0.3
2021,1,2021-01-17,S08000030,Emergency,Accident & Emergency,58,64.5,-10.1
2021,1,2021-01-17,S08000030,Emergency,All,854,1059,-19.4
2021,1,2021-01-17,S08000030,Emergency,Cancer,11,20.5,-46.3
2021,1,2021-01-17,S08000030,Emergency,Cardiology,15,27,-44.4
2021,1,2021-01-17,S08000030,Emergency,Gynaecology,11,13.5,-18.5
2021,1,2021-01-17,S08000030,Emergency,Medical (excl. Cardiology & Cancer),512,562.5,-9
2021,1,2021-01-17,S08000030,Emergency,Medical (incl. Cardiology & Cancer),538,610,-11.8
2021,1,2021-01-17,S08000030,Emergency,Paediatrics (medical & surgical),53,130,-59.2
2021,1,2021-01-17,S08000030,Emergency,Paediatrics (medical),53,130,-59.2
2021,1,2021-01-17,S08000030,Emergency,Surgery,191,222,-14
2021,1,2021-01-17,S08000031,Emergency,Accident & Emergency,29,21.5,34.9
2021,1,2021-01-17,S08000031,Emergency,All,2103,2704,-22.2
2021,1,2021-01-17,S08000031,Emergency,Cancer,21,27.5,-23.6
2021,1,2021-01-17,S08000031,Emergency,Cardiology,49,95.5,-48.7
2021,1,2021-01-17,S08000031,Emergency,Gynaecology,34,28.5,19.3
2021,1,2021-01-17,S08000031,Emergency,Medical (excl. Cardiology & Cancer),1369,1647.5,-16.9
2021,3,2021-07-25,S08000015,All,Paediatrics (medical & surgical),82,98,-16.3
2021,3,2021-07-25,S08000015,All,Paediatrics (medical),82,98,-16.3
2021,3,2021-07-25,S08000015,All,Surgery,281,294.5,-4.6
2021,3,2021-07-25,S08000016,All,All,233,261,-10.7
2021,3,2021-07-25,S08000016,All,Cardiology,8,13,-38.5
2021,3,2021-07-25,S08000016,All,Community,23,14.5,58.6
2021,3,2021-07-25,S08000016,All,Medical (excl. Cardiology & Cancer),118,123,-4.1
2021,3,2021-07-25,S08000016,All,Medical (incl. Cardiology & Cancer),126,136,-7.4
2021,3,2021-07-25,S08000016,All,Paediatrics (medical & surgical),22,26,-15.4
2021,3,2021-07-25,S08000016,All,Paediatrics (medical),22,26,-15.4
2021,3,2021-07-25,S08000016,All,Surgery,62,83.5,-25.7
2021,3,2021-07-25,S08000017,All,All,414,416,-0.5
2021,3,2021-07-25,S08000017,All,Community,42,35,20
2021,3,2021-07-25,S08000017,All,Gynaecology,19,10.5,81
2021,3,2021-07-25,S08000017,All,Medical (excl. Cardiology & Cancer),202,202,0
2021,3,2021-07-25,S08000017,All,Medical (incl. Cardiology & Cancer),205,206,-0.5
2021,3,2021-07-25,S08000017,All,Paediatrics (medical & surgical),38,28.5,33.3
2021,3,2021-07-25,S08000017,All,Paediatrics (medical),38,28.5,33.3
2021,3,2021-07-25,S08000017,All,Surgery,110,136,-19.1
2021,3,2021-07-25,S08000019,All,All,732,1055.5,-30.6
2021,3,2021-07-25,S08000019,All,Cardiology,6,5.5,9.1
2021,3,2021-07-25,S08000019,All,Gynaecology,25,47.5,-47.4
2021,3,2021-07-25,S08000019,All,Medical (excl. Cardiology & Cancer),448,618,-27.5
2021,3,2021-07-25,S08000019,All,Medical (incl. Cardiology & Cancer),454,623.5,-27.2
2021,3,2021-07-25,S08000019,All,Paediatrics (medical & surgical),79,100.5,-21.4
2021,3,2021-07-25,S08000019,All,Paediatrics (medical),79,100.5,-21.4
2021,3,2021-07-25,S08000019,All,Surgery,172,274,-37.2
2021,3,2021-07-25,S08000020,All,Accident & Emergency,19,53.5,-64.5
2021,3,2021-07-25,S08000020,All,All,1193,1263.5,-5.6
2021,3,2021-07-25,S08000020,All,Cancer,32,39.5,-19
2021,3,2021-07-25,S08000020,All,Cardiology,44,34,29.4
2021,3,2021-07-25,S08000020,All,Community,37,52.5,-29.5
2021,3,2021-07-25,S08000020,All,Gynaecology,22,35,-37.1
2021,3,2021-07-25,S08000020,All,Medical (excl. Cardiology & Cancer),521,483.5,7.8
2021,3,2021-07-25,S08000020,All,Medical (incl. Cardiology & Cancer),597,557,7.2
2021,3,2021-07-25,S08000020,All,Paediatrics (medical & surgical),99,87,13.8
2021,3,2021-07-25,S08000020,All,Paediatrics (medical),85,72,18.1
2021,3,2021-07-25,S08000020,All,Paediatrics (surgical),14,15,-6.7
2021,3,2021-07-25,S08000022,All,All,729,770.5,-5.4
2021,3,2021-07-25,S08000022,All,Cardiology,9,13,-30.8
2021,3,2021-07-25,S08000022,All,Community,88,93.5,-5.9
2021,3,2021-07-25,S08000022,All,Gynaecology,21,28.5,-26.3
2021,3,2021-07-25,S08000022,All,Medical (excl. Cardiology & Cancer),315,321.5,-2
2021,3,2021-07-25,S08000022,All,Medical (incl. Cardiology & Cancer),327,341.5,-4.2
2021,3,2021-07-25,S08000022,All,Paediatrics (medical & surgical),61,48,27.1
2021,3,2021-07-25,S08000022,All,Paediatrics (medical),61,48,27.1
2021,3,2021-07-25,S08000022,All,Surgery,232,259,-10.4
2021,3,2021-07-25,S08000024,All,Accident & Emergency,194,126.5,53.4
2021,3,2021-07-25,S08000024,All,All,2096,2175.5,-3.7
2021,3,2021-07-25,S08000024,All,Cancer,114,92,23.9
2021,3,2021-07-25,S08000024,All,Cardiology,57,67,-14.9
2021,3,2021-07-25,S08000024,All,Gynaecology,51,56.5,-9.7
2021,3,2021-07-25,S08000024,All,Medical (excl. Cardiology & Cancer),944,959,-1.6
2021,3,2021-07-25,S08000024,All,Medical (incl. Cardiology & Cancer),1115,1118,-0.3
2021,3,2021-07-25,S08000024,All,Paediatrics (medical & surgical),143,116,23.3
2021,3,2021-07-25,S08000024,All,Paediatrics (medical),120,96.5,24.4
2021,3,2021-07-25,S08000024,All,Paediatrics (surgical),23,19.5,17.9
2021,3,2021-07-25,S08000024,All,Surgery,591,758.5,-22.1
2021,3,2021-07-25,S08000025,All,All,41,39,5.1
2021,3,2021-07-25,S08000025,All,Medical (excl. Cardiology & Cancer),24,21,14.3
2021,3,2021-07-25,S08000025,All,Medical (incl. Cardiology & Cancer),24,21,14.3
2021,3,2021-07-25,S08000025,All,Surgery,17,15.5,9.7
2021,3,2021-07-25,S08000026,All,All,38,41.5,-8.4
2021,3,2021-07-25,S08000026,All,Medical (excl. Cardiology & Cancer),29,23,26.1
2021,3,2021-07-25,S08000026,All,Medical (incl. Cardiology & Cancer),29,23,26.1
2021,3,2021-07-25,S08000026,All,Surgery,9,18.5,-51.4
2021,3,2021-07-25,S08000028,All,All,74,74,0
2021,3,2021-07-25,S08000028,All,Community,11,12.5,-12
2021,3,2021-07-25,S08000028,All,Medical (excl. Cardiology & Cancer),31,33,-6.1
2021,3,2021-07-25,S08000028,All,Medical (incl. Cardiology & Cancer),31,33,-6.1
2021,3,2021-07-25,S08000028,All,Surgery,29,23.5,23.4
2021,3,2021-07-25,S08000029,All,Accident & Emergency,57,55.5,2.7
2021,3,2021-07-25,S08000029,All,All,875,867,0.9
2021,3,2021-07-25,S08000029,All,Cardiology,32,29.5,8.5
2021,3,2021-07-25,S08000029,All,Community,14,11,27.3
2021,3,2021-07-25,S08000029,All,Gynaecology,43,34.5,24.6
2021,3,2021-07-25,S92000003,All,Cardiology,425,433.5,-2
2021,3,2021-07-25,S08000029,All,Medical (excl. Cardiology & Cancer),392,427,-8.2
2021,3,2021-07-25,S08000029,All,Medical (incl. Cardiology & Cancer),424,456.5,-7.1
2021,3,2021-07-25,S08000029,All,Paediatrics (medical & surgical),68,71.5,-4.9
2021,3,2021-07-25,S08000029,All,Paediatrics (medical),66,71.5,-7.7
2021,3,2021-07-25,S08000029,All,Surgery,269,238,13
2021,3,2021-07-25,S08000030,All,Accident & Emergency,81,71,14.1
2021,3,2021-07-25,S08000030,All,All,1176,1252.5,-6.1
2021,3,2021-07-25,S08000030,All,Cancer,27,24,12.5
2021,3,2021-07-25,S08000030,All,Cardiology,52,36,44.4
2021,3,2021-07-25,S08000030,All,Gynaecology,22,46,-52.2
2021,3,2021-07-25,S08000030,All,Medical (excl. Cardiology & Cancer),559,542,3.1
2021,3,2021-07-25,S08000030,All,Medical (incl. Cardiology & Cancer),638,602,6
2021,3,2021-07-25,S08000030,All,Paediatrics (medical & surgical),106,115.5,-8.2
2021,3,2021-07-25,S08000030,All,Paediatrics (medical),106,114,-7
2021,3,2021-07-25,S08000030,All,Surgery,327,396,-17.4
2021,3,2021-07-25,S08000031,All,Accident & Emergency,52,42.5,22.4
2021,3,2021-07-25,S08000031,All,All,3511,3804.5,-7.7
2021,3,2021-07-25,S08000031,All,Cancer,84,81,3.7
2021,3,2021-07-25,S08000031,All,Cardiology,105,150,-30
2021,3,2021-07-25,S08000031,All,Gynaecology,84,134.5,-37.5
2021,3,2021-07-25,S08000031,All,Medical (excl. Cardiology & Cancer),1785,1832,-2.6
2021,3,2021-07-25,S08000031,All,Medical (incl. Cardiology & Cancer),1974,2063,-4.3
2021,3,2021-07-25,S08000031,All,Paediatrics (medical & surgical),239,184.5,29.5
2021,3,2021-07-25,S08000031,All,Paediatrics (medical),210,155,35.5
2021,3,2021-07-25,S08000031,All,Paediatrics (surgical),29,29.5,-1.7
2021,3,2021-07-25,S08000031,All,Surgery,1161,1378.5,-15.8
2021,3,2021-07-25,S08000032,All,Accident & Emergency,11,8.5,29.4
2021,3,2021-07-25,S08000032,All,All,1484,1588,-6.5
2021,3,2021-07-25,S08000032,All,Cardiology,91,63.5,43.3
2021,3,2021-07-25,S08000032,All,Gynaecology,18,35,-48.6
2021,3,2021-07-25,S08000032,All,Medical (excl. Cardiology & Cancer),829,842.5,-1.6
2021,3,2021-07-25,S08000032,All,Medical (incl. Cardiology & Cancer),920,906,1.5
2021,3,2021-07-25,S08000032,All,Paediatrics (medical & surgical),178,181,-1.7
2021,3,2021-07-25,S08000032,All,Paediatrics (medical),178,178.5,-0.3
2021,3,2021-07-25,S08000032,All,Surgery,357,457.5,-22
2021,3,2021-07-25,S92000003,All,Accident & Emergency,423,401,5.5
2021,3,2021-07-25,S92000003,All,All,13586,14643,-7.2
2021,3,2021-07-25,S92000003,All,Cancer,260,243.5,6.8
2021,3,2021-07-25,S92000003,All,Community,219,241.5,-9.3
2021,3,2021-07-25,S92000003,All,Gynaecology,305,431.5,-29.3
2021,3,2021-07-25,S92000003,All,Medical (excl. Cardiology & Cancer),6799,7018,-3.1
2021,3,2021-07-25,S92000003,All,Medical (incl. Cardiology & Cancer),7484,7695,-2.7
2021,3,2021-07-25,S92000003,All,Paediatrics (medical & surgical),1118,1059.5,5.5
2021,3,2021-07-25,S92000003,All,Paediatrics (medical),1050,991.5,5.9
2021,3,2021-07-25,S92000003,All,Paediatrics (surgical),68,68,0
2021,3,2021-07-25,S92000003,All,Surgery,4036,4811.5,-16.1
2021,3,2021-08-01,S08000015,All,Accident & Emergency,6,30.5,-80.3
2021,3,2021-08-01,S08000015,All,All,964,1059,-9
2021,3,2021-08-01,S08000015,All,Cardiology,21,16.5,27.3
2021,3,2021-08-01,S08000015,All,Medical (excl. Cardiology & Cancer),581,603,-3.6
2021,3,2021-08-01,S08000015,All,Medical (incl. Cardiology & Cancer),602,619.5,-2.8
2021,3,2021-08-01,S08000015,All,Paediatrics (medical & surgical),99,97.5,1.5
2021,3,2021-08-01,S08000015,All,Paediatrics (medical),99,97.5,1.5
2021,3,2021-08-01,S08000015,All,Surgery,257,311.5,-17.5
2021,3,2021-08-01,S08000016,All,All,221,301.5,-26.7
2021,3,2021-08-01,S08000016,All,Cardiology,14,8.5,64.7
2021,3,2021-08-01,S08000016,All,Community,15,19.5,-23.1
2021,3,2021-08-01,S08000016,All,Medical (excl. Cardiology & Cancer),113,149.5,-24.4
2021,3,2021-08-01,S08000016,All,Medical (incl. Cardiology & Cancer),127,158,-19.6
2021,3,2021-08-01,S08000016,All,Paediatrics (medical & surgical),19,25,-24
2021,3,2021-08-01,S08000016,All,Paediatrics (medical),19,25,-24
2021,3,2021-08-01,S08000016,All,Surgery,60,99,-39.4
2021,3,2021-08-01,S08000017,All,All,369,412,-10.4
2021,3,2021-08-01,S08000017,All,Cardiology,6,3.5,71.4
2021,3,2021-08-01,S08000017,All,Community,34,28,21.4
2021,3,2021-08-01,S08000017,All,Gynaecology,13,19.5,-33.3
2021,3,2021-08-01,S08000017,All,Medical (excl. Cardiology & Cancer),191,198.5,-3.8
2021,3,2021-08-01,S08000017,All,Medical (incl. Cardiology & Cancer),197,202,-2.5
2021,3,2021-08-01,S08000017,All,Paediatrics (medical & surgical),12,30,-60
2021,3,2021-08-01,S08000017,All,Paediatrics (medical),12,30,-60
2021,3,2021-08-01,S08000017,All,Surgery,113,132.5,-14.7
2021,3,2021-08-01,S08000019,All,All,704,1001,-29.7
2021,3,2021-08-01,S08000019,All,Cardiology,6,10,-40
2021,3,2021-08-01,S08000019,All,Gynaecology,27,39.5,-31.6
2021,3,2021-08-01,S08000019,All,Medical (excl. Cardiology & Cancer),407,571.5,-28.8
2021,3,2021-08-01,S08000030,All,Gynaecology,33,39.5,-16.5
2021,3,2021-08-01,S08000019,All,Medical (incl. Cardiology & Cancer),413,581.5,-29
2021,3,2021-08-01,S08000019,All,Paediatrics (medical & surgical),69,86,-19.8
2021,3,2021-08-01,S08000019,All,Paediatrics (medical),69,86,-19.8
2021,3,2021-08-01,S08000019,All,Surgery,191,277.5,-31.2
2021,3,2021-08-01,S08000020,All,Accident & Emergency,31,55.5,-44.1
2021,3,2021-08-01,S08000020,All,All,1171,1285.5,-8.9
2021,3,2021-08-01,S08000020,All,Cancer,30,31.5,-4.8
2021,3,2021-08-01,S08000020,All,Cardiology,42,33,27.3
2021,3,2021-08-01,S08000020,All,Community,30,49.5,-39.4
2021,3,2021-08-01,S08000020,All,Gynaecology,26,30,-13.3
2021,3,2021-08-01,S08000020,All,Medical (excl. Cardiology & Cancer),487,497,-2
2021,3,2021-08-01,S08000020,All,Medical (incl. Cardiology & Cancer),559,561.5,-0.4
2021,3,2021-08-01,S08000020,All,Paediatrics (medical & surgical),89,82,8.5
2021,3,2021-08-01,S08000020,All,Paediatrics (medical),73,70.5,3.5
2021,3,2021-08-01,S08000020,All,Paediatrics (surgical),16,11.5,39.1
2021,3,2021-08-01,S08000020,All,Surgery,436,506,-13.8
2021,3,2021-08-01,S08000022,All,All,700,801,-12.6
2021,3,2021-08-01,S08000022,All,Cardiology,8,16,-50
2021,3,2021-08-01,S08000022,All,Community,82,94.5,-13.2
2021,3,2021-08-01,S08000022,All,Gynaecology,21,23.5,-10.6
2021,3,2021-08-01,S08000022,All,Medical (excl. Cardiology & Cancer),299,319.5,-6.4
2021,3,2021-08-01,S08000022,All,Medical (incl. Cardiology & Cancer),310,346,-10.4
2021,3,2021-08-01,S08000022,All,Paediatrics (medical & surgical),69,51.5,34
2021,3,2021-08-01,S08000022,All,Paediatrics (medical),69,51.5,34
2021,3,2021-08-01,S08000022,All,Surgery,217,284.5,-23.7
2021,3,2021-08-01,S08000024,All,Accident & Emergency,195,146.5,33.1
2021,3,2021-08-01,S08000024,All,All,2185,2250,-2.9
2021,3,2021-08-01,S08000024,All,Cancer,102,96,6.2
2021,3,2021-08-01,S08000024,All,Cardiology,84,87,-3.4
2021,3,2021-08-01,S08000024,All,Community,6,0,8000
2021,3,2021-08-01,S08000024,All,Gynaecology,49,60,-18.3
2021,3,2021-08-01,S08000024,All,Medical (excl. Cardiology & Cancer),944,967.5,-2.4
2021,3,2021-08-01,S08000024,All,Medical (incl. Cardiology & Cancer),1130,1150.5,-1.8
2021,3,2021-08-01,S08000024,All,Paediatrics (medical & surgical),155,134,15.7
2021,3,2021-08-01,S08000024,All,Paediatrics (medical),134,110.5,21.3
2021,3,2021-08-01,S08000024,All,Paediatrics (surgical),21,23.5,-10.6
2021,3,2021-08-01,S08000024,All,Surgery,650,759,-14.4
2021,3,2021-08-01,S08000025,All,All,46,40,15
2021,3,2021-08-01,S08000025,All,Medical (excl. Cardiology & Cancer),30,25,20
2021,3,2021-08-01,S08000025,All,Medical (incl. Cardiology & Cancer),32,25,28
2021,3,2021-08-01,S08000025,All,Surgery,13,14.5,-10.3
2021,3,2021-08-01,S08000026,All,All,48,36.5,31.5
2021,3,2021-08-01,S08000026,All,Medical (excl. Cardiology & Cancer),29,21,38.1
2021,3,2021-08-01,S08000026,All,Medical (incl. Cardiology & Cancer),29,21,38.1
2021,3,2021-08-01,S08000026,All,Surgery,19,15,26.7
2021,3,2021-08-01,S08000028,All,All,78,81.5,-4.3
2021,3,2021-08-01,S08000028,All,Community,15,15.5,-3.2
2021,3,2021-08-01,S08000028,All,Medical (excl. Cardiology & Cancer),34,35.5,-4.2
2021,3,2021-08-01,S08000028,All,Medical (incl. Cardiology & Cancer),38,35.5,7
2021,3,2021-08-01,S08000028,All,Surgery,24,27,-11.1
2021,3,2021-08-01,S08000029,All,Accident & Emergency,65,70.5,-7.8
2021,3,2021-08-01,S08000029,All,All,868,912,-4.8
2021,3,2021-08-01,S08000029,All,Cardiology,29,32,-9.4
2021,3,2021-08-01,S08000029,All,Community,15,11.5,30.4
2021,3,2021-08-01,S08000029,All,Gynaecology,35,36,-2.8
2021,3,2021-08-01,S08000029,All,Medical (excl. Cardiology & Cancer),386,438,-11.9
2021,3,2021-08-01,S08000029,All,Medical (incl. Cardiology & Cancer),415,470,-11.7
2021,3,2021-08-01,S08000029,All,Paediatrics (medical & surgical),71,68,4.4
2021,3,2021-08-01,S08000029,All,Paediatrics (medical),69,68,1.5
2021,3,2021-08-01,S08000029,All,Surgery,267,256,4.3
2021,3,2021-08-01,S08000030,All,Accident & Emergency,99,79.5,24.5
2021,3,2021-08-01,S08000030,All,All,1146,1139,0.6
2021,3,2021-08-01,S08000030,All,Cancer,18,25,-28
2021,3,2021-08-01,S08000030,All,Cardiology,30,28,7.1
2021,3,2021-09-26,S08000024,All,All,2094,2198.5,-4.8
2021,3,2021-09-26,S08000024,All,Cancer,110,103,6.8
2021,3,2021-09-26,S08000024,All,Cardiology,74,63.5,16.5
2021,3,2021-09-26,S08000024,All,Gynaecology,52,50.5,3
2021,3,2021-09-26,S08000024,All,Medical (excl. Cardiology & Cancer),936,948.5,-1.3
2021,3,2021-09-26,S08000024,All,Medical (incl. Cardiology & Cancer),1120,1115,0.4
2021,3,2021-09-26,S08000024,All,Paediatrics (medical & surgical),238,163,46
2021,3,2021-09-26,S08000024,All,Paediatrics (medical),215,148,45.3
2021,3,2021-09-26,S08000024,All,Paediatrics (surgical),23,15,53.3
2021,3,2021-09-26,S08000024,All,Surgery,581,723,-19.6
2021,3,2021-09-26,S08000025,All,All,38,35.5,7
2021,3,2021-09-26,S08000025,All,Medical (excl. Cardiology & Cancer),19,21,-9.5
2021,4,2021-10-03,S08000030,All,Cancer,10,23.5,-57.4
2021,3,2021-08-01,S08000030,All,Medical (excl. Cardiology & Cancer),523,509.5,2.6
2021,3,2021-08-01,S08000030,All,Medical (incl. Cardiology & Cancer),571,562.5,1.5
2021,3,2021-08-01,S08000030,All,Paediatrics (medical & surgical),129,101,27.7
2021,3,2021-08-01,S08000030,All,Paediatrics (medical),129,101,27.7
2021,3,2021-08-01,S08000030,All,Surgery,311,340.5,-8.7
2021,3,2021-08-01,S08000031,All,Accident & Emergency,36,42.5,-15.3
2021,3,2021-08-01,S08000031,All,All,3610,3992,-9.6
2021,3,2021-08-01,S08000031,All,Cancer,97,85.5,13.5
2021,3,2021-08-01,S08000031,All,Cardiology,119,155,-23.2
2021,3,2021-08-01,S08000031,All,Gynaecology,116,124.5,-6.8
2021,3,2021-08-01,S08000031,All,Medical (excl. Cardiology & Cancer),1818,1923,-5.5
2021,3,2021-08-01,S08000031,All,Medical (incl. Cardiology & Cancer),2034,2163.5,-6
2021,3,2021-08-01,S08000031,All,Paediatrics (medical & surgical),204,199.5,2.3
2021,3,2021-08-01,S08000031,All,Paediatrics (medical),182,161.5,12.7
2021,3,2021-08-01,S08000031,All,Paediatrics (surgical),22,38,-42.1
2021,3,2021-08-01,S08000031,All,Surgery,1217,1461,-16.7
2021,3,2021-08-01,S08000032,All,Accident & Emergency,6,7,-14.3
2021,3,2021-08-01,S08000032,All,All,1561,1630.5,-4.3
2021,3,2021-08-01,S08000032,All,Cardiology,93,69.5,33.8
2021,3,2021-08-01,S08000032,All,Gynaecology,25,39,-35.9
2021,3,2021-08-01,S08000032,All,Medical (excl. Cardiology & Cancer),915,849.5,7.7
2021,3,2021-08-01,S08000032,All,Medical (incl. Cardiology & Cancer),1008,919.5,9.6
2021,3,2021-08-01,S08000032,All,Paediatrics (medical & surgical),174,166,4.8
2021,3,2021-08-01,S08000032,All,Paediatrics (medical),174,164.5,5.8
2021,3,2021-08-01,S08000032,All,Surgery,348,499,-30.3
2021,3,2021-08-01,S92000003,All,Accident & Emergency,441,449,-1.8
2021,3,2021-08-01,S92000003,All,All,13671,14941.5,-8.5
2021,3,2021-08-01,S92000003,All,Cancer,256,249,2.8
2021,3,2021-08-01,S92000003,All,Cardiology,452,459,-1.5
2021,3,2021-08-01,S92000003,All,Community,200,234,-14.5
2021,3,2021-08-01,S92000003,All,Gynaecology,346,414,-16.4
2021,3,2021-08-01,S92000003,All,Medical (excl. Cardiology & Cancer),6757,7108,-4.9
2021,3,2021-08-01,S92000003,All,Medical (incl. Cardiology & Cancer),7465,7816,-4.5
2021,3,2021-08-01,S92000003,All,Paediatrics (medical & surgical),1091,1042.5,4.7
2021,3,2021-08-01,S92000003,All,Paediatrics (medical),1030,968,6.4
