year,quarter,hb,location,admission_type,simd,episodes,length_of_episode,average_length_of_episode,stays,length_of_stay,average_length_of_stay
2017,1,S08000031,S08000031,Elective Inpatients,1,3824,10060,2.63075313807531,3854,14199,3.68422418266736
2017,2,S08000031,S08000031,Elective Inpatients,1,3618,10274,2.83969043670536,3642,15181,4.16831411312466
2017,3,S08000031,S08000031,Elective Inpatients,1,3575,9807,2.74321678321678,3596,13700,3.80978865406007
2017,4,S08000031,S08000031,Elective Inpatients,1,3510,9276,2.64273504273504,3554,13056,3.67360720315138
2018,1,S08000031,S08000031,Elective Inpatients,1,3423,8375,2.44668419515045,3436,13443,3.91239813736903
2018,2,S08000031,S08000031,Elective Inpatients,1,3637,8863,2.43689854275502,3670,13772,3.75258855585831
2018,3,S08000031,S08000031,Elective Inpatients,1,3401,8663,2.54719200235225,3409,11337,3.32560868289821
2018,4,S08000031,C418H,Elective Inpatients,NA,5,6,1.2,5,5,1
2018,4,S08000031,S08000031,Elective Inpatients,1,3061,7587,2.47860176412937,3092,10841,3.50614489003881
2019,1,S08000031,S08000031,Elective Inpatients,1,3256,8121,2.49416461916462,3278,11299,3.44691885295912
2019,2,S08000031,S08000031,Elective Inpatients,1,3334,8289,2.48620275944811,3362,11388,3.38726948245092
2019,3,S08000031,S08000031,Elective Inpatients,1,3210,7633,2.3778816199377,3238,10837,3.34681902408894
2019,4,S08000031,S08000031,Elective Inpatients,1,3387,7972,2.35370534396221,3427,10981,3.2042602859644
2020,1,S08000031,S08000031,Elective Inpatients,1,3127,7161,2.29005436520627,3151,10098,3.20469692161219
2020,2,S08000031,S08000031,Elective Inpatients,1,1190,3345,2.8109243697479,1195,4844,4.05355648535565
2020,3,S08000031,S08000031,Elective Inpatients,1,2088,5119,2.45162835249042,2088,7189,3.44300766283525
2020,4,S08000031,S08000031,Elective Inpatients,1,2475,5755,2.32525252525253,2500,8294,3.3176
2021,1,S08000031,S08000031,Elective Inpatients,1,2096,4951,2.36211832061069,2096,6930,3.30629770992366
2021,2,S08000031,S08000031,Elective Inpatients,1,2452,5743,2.34216965742251,2479,8398,3.38765631302945
2016,2,S08000031,S08000031,Elective Inpatients,2,2406,7025,2.91978387364921,2432,9984,4.10526315789474
2016,3,S08000031,S08000031,Elective Inpatients,2,2427,7159,2.94973217964565,2438,9923,4.0701394585726
2016,4,S08000031,S08000031,Elective Inpatients,2,2439,6576,2.69618696186962,2492,10747,4.31260032102729
2017,1,S08000031,S08000031,Elective Inpatients,2,2549,6370,2.49901922322479,2541,9685,3.81149153876427
2017,2,S08000031,S08000031,Elective Inpatients,2,2223,6867,3.08906882591093,2248,9382,4.17348754448399
2017,3,S08000031,S08000031,Elective Inpatients,2,2161,6113,2.82878297084683,2177,8762,4.02480477721635
2017,4,S08000031,S08000031,Elective Inpatients,2,2284,5842,2.55779334500876,2308,8730,3.78249566724437
2018,1,S08000031,S08000031,Elective Inpatients,2,2064,5475,2.65261627906977,2061,7407,3.5938864628821
2018,2,S08000031,S08000031,Elective Inpatients,2,2229,5910,2.6514131897712,2246,8681,3.86509349955476
2018,3,S08000031,S08000031,Elective Inpatients,2,2126,5377,2.52916274694262,2142,7186,3.35480859010271
2018,4,S08000031,S08000031,Elective Inpatients,2,2032,5649,2.78001968503937,2053,8120,3.9551875304432502
2019,1,S08000031,S08000031,Elective Inpatients,2,2098,4974,2.37082936129647,2101,7195,3.42455973346026
2019,2,S08000031,S08000031,Elective Inpatients,2,2110,5284,2.5042654028436,2122,7123,3.35673892554194
2019,3,S08000031,S08000031,Elective Inpatients,2,1972,4911,2.49036511156187,1972,7223,3.66277890466531
2019,4,S08000031,S08000031,Elective Inpatients,2,2000,5264,2.632,2028,7501,3.69871794871795
2020,1,S08000031,S08000031,Elective Inpatients,2,1905,4550,2.38845144356955,1924,6719,3.49220374220374
2020,2,S08000031,S08000031,Elective Inpatients,2,695,1680,2.41726618705036,679,2325,3.42415316642121
2020,3,S08000031,S08000031,Elective Inpatients,2,1319,3188,2.41698256254738,1325,4660,3.51698113207547
2020,4,S08000031,S08000031,Elective Inpatients,2,1521,3441,2.26232741617357,1546,4882,3.15782664941785
2021,1,S08000031,S08000031,Elective Inpatients,2,1254,3521,2.80781499202552,1251,4389,3.5083932853717
2021,2,S08000031,S08000031,Elective Inpatients,2,1712,4539,2.65128504672897,1717,5927,3.45195107746069
2016,2,S08000031,S08000031,Elective Inpatients,3,2065,5641,2.7317191283293,2063,7522,3.64614638875424
2016,3,S08000031,S08000031,Elective Inpatients,3,2095,5911,2.82147971360382,2091,7917,3.78622668579627
2016,4,S08000031,S08000031,Elective Inpatients,3,2097,5759,2.74630424415832,2147,9366,4.3623660922217
2017,1,S08000031,S08000031,Elective Inpatients,3,1993,5365,2.69192172604114,1989,7180,3.60985419808949
2017,2,S08000031,S08000031,Elective Inpatients,3,1980,5841,2.95,1989,7896,3.96983408748115
2017,3,S08000031,S08000031,Elective Inpatients,3,1830,5500,3.00546448087432,1836,8374,4.56100217864924
2017,4,S08000031,S08000031,Elective Inpatients,3,1866,5787,3.10128617363344,1880,7690,4.09042553191489
2018,1,S08000031,S08000031,Elective Inpatients,3,1727,4447,2.57498552403011,1745,6550,3.75358166189112
2018,2,S08000031,S08000031,Elective Inpatients,3,1842,4856,2.63626492942454,1824,5865,3.21546052631579
2018,3,S08000031,S08000031,Elective Inpatients,3,1776,4863,2.73817567567568,1790,6664,3.72290502793296
2018,4,S08000031,S08000031,Elective Inpatients,3,1731,4677,2.70190641247834,1753,6325,3.60810039931546
2019,1,S08000031,S08000031,Elective Inpatients,3,1758,5532,3.1467576791808902,1754,6735,3.83979475484607
2019,2,S08000031,S08000031,Elective Inpatients,3,1634,4701,2.87698898408813,1639,6993,4.26662599145821
2019,3,S08000031,S08000031,Elective Inpatients,3,1722,4608,2.67595818815331,1720,5997,3.48662790697674
2019,4,S08000031,S08000031,Elective Inpatients,3,1674,4657,2.78195937873357,1678,6298,3.75327771156138
2020,1,S08000031,S08000031,Elective Inpatients,3,1618,4455,2.75339925834363,1622,6275,3.86868064118372
2019,3,S08000031,C418H,Elective Inpatients,NA,0,5,NA,0,0,NA
2020,2,S08000031,S08000031,Elective Inpatients,3,541,1802,3.33086876155268,536,2597,4.84514925373134
2020,3,S08000031,S08000031,Elective Inpatients,3,1073,2653,2.47250698974837,1059,3567,3.36827195467422
2020,4,S08000031,S08000031,Elective Inpatients,3,1233,3193,2.58961881589619,1254,4694,3.74322169059011
2021,1,S08000031,S08000031,Elective Inpatients,3,1020,2811,2.75588235294118,1026,3680,3.58674463937622
2021,2,S08000031,S08000031,Elective Inpatients,3,1365,3296,2.41465201465201,1373,4602,3.35178441369264
2016,2,S08000031,S08000031,Elective Inpatients,4,1757,4278,2.43483210017075,1775,6605,3.72112676056338
2016,3,S08000031,S08000031,Elective Inpatients,4,1783,5725,3.2108805384184,1781,6987,3.92307692307692
2016,4,S08000031,S08000031,Elective Inpatients,4,1880,4802,2.55425531914894,1915,7186,3.75248041775457
2017,1,S08000031,S08000031,Elective Inpatients,4,1594,3684,2.31116687578419,1612,5611,3.48076923076923
2017,2,S08000031,S08000031,Elective Inpatients,4,1556,4193,2.69473007712082,1570,5789,3.68726114649682
2017,3,S08000031,S08000031,Elective Inpatients,4,1548,3978,2.56976744186047,1551,5910,3.81044487427466
2017,4,S08000031,S08000031,Elective Inpatients,4,1631,4305,2.63948497854077,1655,6374,3.85135951661631
2018,1,S08000031,S08000031,Elective Inpatients,4,1536,3722,2.42317708333333,1523,5156,3.38542350623769
2018,2,S08000031,S08000031,Elective Inpatients,4,1650,4608,2.79272727272727,1658,6296,3.79734620024125
2018,3,S08000031,S08000031,Elective Inpatients,4,1584,3925,2.47790404040404,1597,5883,3.68378209142142
2018,4,S08000031,S08000031,Elective Inpatients,4,1478,3649,2.46887686062246,1492,5611,3.76072386058981
2019,1,S08000031,S08000031,Elective Inpatients,4,1524,3459,2.26968503937008,1522,4809,3.15965834428384
2019,2,S08000031,S08000031,Elective Inpatients,4,1518,3501,2.30632411067194,1526,6747,4.4213630406291
2019,3,S08000031,S08000031,Elective Inpatients,4,1479,3776,2.55307640297498,1488,5503,3.69825268817204
2019,4,S08000031,S08000031,Elective Inpatients,4,1459,3473,2.38039753255655,1464,4651,3.17691256830601
2020,1,S08000031,S08000031,Elective Inpatients,4,1399,3046,2.17726947819871,1407,4614,3.27931769722814
2020,2,S08000031,S08000031,Elective Inpatients,4,504,1547,3.06944444444444,500,2339,4.678
2020,3,S08000031,S08000031,Elective Inpatients,4,968,2454,2.53512396694215,967,3292,3.40434332988625
2020,4,S08000031,S08000031,Elective Inpatients,4,1124,2692,2.39501779359431,1137,3769,3.31486367634125
2020,1,S08000028,W107H,Transfers,NA,0,0,NA,0,0,NA
2021,1,S08000031,S08000031,Elective Inpatients,4,956,2229,2.331589958159,957,3086,3.22466039707419
2021,2,S08000031,S08000031,Elective Inpatients,4,1257,3092,2.45982498011138,1253,3972,3.16999201915403
2016,2,S08000031,S08000031,Elective Inpatients,5,1838,4442,2.41675734494015,1863,7093,3.80730005367687
2016,3,S08000031,S08000031,Elective Inpatients,5,1908,4816,2.5241090146750498,1924,6669,3.46621621621622
2016,4,S08000031,S08000031,Elective Inpatients,5,1934,4849,2.50723888314374,1980,7595,3.83585858585859
2017,1,S08000031,S08000031,Elective Inpatients,5,1942,4730,2.4356333676622,1954,6874,3.517911975435
2017,2,S08000031,S08000031,Elective Inpatients,5,1843,4503,2.44329896907217,1880,7326,3.8968085106383
2017,3,S08000031,S08000031,Elective Inpatients,5,1789,4751,2.65567356064841,1792,6151,3.43247767857143
2017,4,S08000031,S08000031,Elective Inpatients,5,1877,4495,2.394778902504,1907,6256,3.28054535920294
2018,1,S08000031,S08000031,Elective Inpatients,5,1819,4216,2.31775700934579,1834,6227,3.39531079607415
2018,2,S08000031,S08000031,Elective Inpatients,5,1794,4142,2.30880713489409,1802,5411,3.00277469478357
2018,3,S08000031,S08000031,Elective Inpatients,5,1724,4458,2.58584686774942,1753,5997,3.42099258414147
2018,4,S08000031,S08000031,Elective Inpatients,5,1556,4000,2.5706940874036,1574,5855,3.71982210927573
2019,1,S08000031,S08000031,Elective Inpatients,5,1751,4513,2.57738435179897,1756,5752,3.2756264236902
2019,2,S08000031,S08000031,Elective Inpatients,5,1660,3911,2.35602409638554,1678,5466,3.25744934445769
2019,3,S08000031,S08000031,Elective Inpatients,5,1688,4164,2.46682464454976,1706,5945,3.48475967174678
2019,4,S08000031,S08000031,Elective Inpatients,5,1763,3926,2.22688598979013,1770,5612,3.17062146892655
2020,1,S08000031,S08000031,Elective Inpatients,5,1671,3441,2.05924596050269,1679,4600,2.73972602739726
2020,2,S08000031,S08000031,Elective Inpatients,5,539,1362,2.52690166975881,533,1857,3.48405253283302
2020,3,S08000031,S08000031,Elective Inpatients,5,1134,2451,2.16137566137566,1147,4038,3.52048823016565
2020,4,S08000031,S08000031,Elective Inpatients,5,1318,3018,2.28983308042489,1333,4035,3.02700675168792
2021,1,S08000031,S08000031,Elective Inpatients,5,1157,2803,2.42264477095938,1163,3780,3.25021496130696
2021,2,S08000031,S08000031,Elective Inpatients,5,1367,3101,2.26847110460863,1363,4345,3.18782098312546
2016,2,S08000031,S08000031,Elective Inpatients,NA,37,76,2.05405405405405,37,91,2.45945945945946
2020,3,S08000028,W107H,Transfers,NA,0,0,NA,0,0,NA
2016,3,S08000031,S08000031,Elective Inpatients,NA,42,143,3.4047619047619,42,173,4.11904761904762
2016,4,S08000031,S08000031,Elective Inpatients,NA,24,86,3.58333333333333,25,135,5.4
2017,1,S08000031,S08000031,Elective Inpatients,NA,19,22,1.15789473684211,18,54,3
2017,2,S08000031,S08000031,Elective Inpatients,NA,32,76,2.375,30,132,4.4
2017,3,S08000031,S08000031,Elective Inpatients,NA,30,60,2,28,81,2.89285714285714
2017,4,S08000031,S08000031,Elective Inpatients,NA,23,33,1.43478260869565,23,40,1.73913043478261
2018,1,S08000031,S08000031,Elective Inpatients,NA,25,58,2.32,25,60,2.4
2018,2,S08000031,S08000031,Elective Inpatients,NA,19,25,1.31578947368421,19,25,1.31578947368421
2018,3,S08000031,S08000031,Elective Inpatients,NA,21,107,5.0952380952381,19,130,6.8421052631579
2018,4,S08000031,S08000031,Elective Inpatients,NA,19,128,6.73684210526316,19,135,7.10526315789474
2019,1,S08000031,S08000031,Elective Inpatients,NA,17,15,0.88235294117647,16,17,1.0625
2019,2,S08000031,S08000031,Elective Inpatients,NA,15,44,2.93333333333333,16,63,3.9375
2019,3,S08000031,S08000031,Elective Inpatients,NA,25,86,3.44,24,95,3.95833333333333
2019,4,S08000031,S08000031,Elective Inpatients,NA,10,55,5.5,10,30,3
2020,1,S08000031,S08000031,Elective Inpatients,NA,13,26,2,13,61,4.69230769230769
2020,2,S08000031,S08000031,Elective Inpatients,NA,5,0,0,5,0,0
2020,3,S08000031,S08000031,Elective Inpatients,NA,5,6,1.2,5,6,1.2
2020,4,S08000031,S08000031,Elective Inpatients,NA,5,6,1.2,5,6,1.2
2021,1,S08000031,S08000031,Elective Inpatients,NA,5,5,1,5,5,1
2021,2,S08000031,S08000031,Elective Inpatients,NA,14,34,2.42857142857143,13,36,2.76923076923077
2016,2,S08000031,G405H,Elective Inpatients,1,1347,4196,3.11507052709725,1343,6260,4.66120625465376
2016,3,S08000031,G405H,Elective Inpatients,1,1331,4067,3.05559729526672,1328,5970,4.49548192771084
2016,4,S08000031,G405H,Elective Inpatients,1,1336,4529,3.38997005988024,1325,6421,4.84603773584906
2017,1,S08000031,G405H,Elective Inpatients,1,1368,4676,3.41812865497076,1343,6607,4.91958302308265
2017,2,S08000031,G405H,Elective Inpatients,1,1380,4814,3.48840579710145,1386,7620,5.4978354978355
2017,3,S08000031,G405H,Elective Inpatients,1,1304,4135,3.17101226993865,1289,6191,4.80294802172227
2017,4,S08000031,G405H,Elective Inpatients,1,1248,3498,2.80288461538462,1254,5333,4.25279106858054
2019,4,S08000031,C418H,Elective Inpatients,NA,0,5,NA,0,5,NA
2018,1,S08000031,G405H,Elective Inpatients,1,1118,3126,2.79606440071556,1110,5907,5.32162162162162
2018,2,S08000031,G405H,Elective Inpatients,1,1244,3775,3.03456591639871,1245,6313,5.07068273092369
2018,3,S08000031,G405H,Elective Inpatients,1,1179,3856,3.27056827820187,1172,5369,4.58105802047782
2018,4,S08000031,G405H,Elective Inpatients,1,1026,3209,3.12768031189084,1032,4595,4.45251937984496
2019,1,S08000031,G405H,Elective Inpatients,1,1082,3344,3.090573012939,1078,4789,4.44248608534323
2019,2,S08000031,G405H,Elective Inpatients,1,1183,3928,3.32037193575655,1183,5153,4.35587489433643
2019,3,S08000031,G405H,Elective Inpatients,1,1163,3710,3.19002579535684,1162,5359,4.6118760757315
2019,4,S08000031,G405H,Elective Inpatients,1,1220,3527,2.89098360655738,1228,4970,4.04723127035831
2020,1,S08000031,G405H,Elective Inpatients,1,1064,3397,3.19266917293233,1067,4873,4.56701030927835
2020,2,S08000031,G405H,Elective Inpatients,1,383,1085,2.83289817232376,379,1742,4.59630606860158
2020,3,S08000031,G405H,Elective Inpatients,1,732,2008,2.7431693989071,721,2842,3.94174757281553
2020,4,S08000031,G405H,Elective Inpatients,1,812,2348,2.89162561576355,818,3824,4.67481662591687
2021,1,S08000031,G405H,Elective Inpatients,1,759,2170,2.85902503293808,745,3112,4.17718120805369
2021,2,S08000031,G405H,Elective Inpatients,1,848,2362,2.78537735849057,859,3591,4.18044237485448
2016,2,S08000031,G405H,Elective Inpatients,2,766,2762,3.60574412532637,769,3963,5.15344603381014
2016,3,S08000031,G405H,Elective Inpatients,2,794,3084,3.88413098236776,773,4133,5.34670116429495
2016,4,S08000031,G405H,Elective Inpatients,2,825,2537,3.07515151515152,836,4106,4.91148325358852
2017,1,S08000031,G405H,Elective Inpatients,2,794,2191,2.75944584382872,781,3549,4.54417413572343
2017,2,S08000031,G405H,Elective Inpatients,2,755,2722,3.60529801324503,753,3769,5.00531208499336
2017,3,S08000031,G405H,Elective Inpatients,2,786,2502,3.18320610687023,777,3500,4.5045045045045
2017,4,S08000031,G405H,Elective Inpatients,2,782,2313,2.95780051150895,782,3631,4.64322250639386
2018,1,S08000031,G405H,Elective Inpatients,2,707,2144,3.03253182461103,693,3126,4.51082251082251
2018,2,S08000031,G405H,Elective Inpatients,2,673,2096,3.11441307578009,682,3843,5.63489736070381
2018,3,S08000031,G405H,Elective Inpatients,2,748,2170,2.90106951871658,749,3102,4.1415220293725
2020,4,S08000030,S08000030,Elective Inpatients,NA,0,0,NA,0,0,NA
2018,4,S08000031,G405H,Elective Inpatients,2,686,2495,3.63702623906706,687,3407,4.95924308588064
2019,1,S08000031,G405H,Elective Inpatients,2,712,2046,2.87359550561798,710,3051,4.29718309859155
2019,2,S08000031,G405H,Elective Inpatients,2,711,2251,3.16596343178622,712,2884,4.05056179775281
2019,3,S08000031,G405H,Elective Inpatients,2,683,2044,2.99267935578331,679,2963,4.36377025036819
2019,4,S08000031,G405H,Elective Inpatients,2,702,2115,3.01282051282051,709,3084,4.34978843441467
2020,1,S08000031,G405H,Elective Inpatients,2,619,2098,3.38933764135703,622,3080,4.95176848874598
2020,2,S08000031,G405H,Elective Inpatients,2,235,607,2.58297872340426,233,1093,4.69098712446352
2020,3,S08000031,G405H,Elective Inpatients,2,449,1137,2.53229398663697,444,1672,3.76576576576577
2020,4,S08000031,G405H,Elective Inpatients,2,506,1557,3.07707509881423,512,2334,4.55859375
2021,1,S08000031,G405H,Elective Inpatients,2,445,1268,2.84943820224719,437,1783,4.08009153318078
2021,2,S08000031,G405H,Elective Inpatients,2,607,2071,3.41186161449753,603,2771,4.59535655058043
2016,2,S08000031,G405H,Elective Inpatients,3,608,1910,3.14144736842105,590,2661,4.51016949152542
2016,3,S08000031,G405H,Elective Inpatients,3,649,2159,3.326656394453,643,2921,4.54276827371695
2016,4,S08000031,G405H,Elective Inpatients,3,702,2297,3.27207977207977,702,3738,5.32478632478632
2017,1,S08000031,G405H,Elective Inpatients,3,588,1886,3.20748299319728,582,2959,5.08419243986254
2017,2,S08000031,G405H,Elective Inpatients,3,626,1969,3.14536741214058,627,2962,4.72408293460925
2017,3,S08000031,G405H,Elective Inpatients,3,619,2306,3.72536348949919,613,3302,5.38662316476346
2017,4,S08000031,G405H,Elective Inpatients,3,617,2087,3.38249594813614,617,2932,4.75202593192869
2018,1,S08000031,G405H,Elective Inpatients,3,583,1566,2.6861063464837,582,2487,4.27319587628866
2018,2,S08000031,G405H,Elective Inpatients,3,557,1486,2.66786355475763,549,1961,3.57194899817851
2018,3,S08000031,G405H,Elective Inpatients,3,588,1845,3.13775510204082,578,2425,4.19550173010381
2018,4,S08000031,G405H,Elective Inpatients,3,565,1861,3.29380530973451,567,2873,5.06701940035273
2019,1,S08000031,G405H,Elective Inpatients,3,582,2586,4.44329896907217,579,2735,4.72366148531952
2019,2,S08000031,G405H,Elective Inpatients,3,563,1971,3.50088809946714,558,3265,5.85125448028674
2021,2,S08000030,S08000030,Elective Inpatients,NA,0,0,NA,0,0,NA
2019,3,S08000031,G405H,Elective Inpatients,3,554,1934,3.49097472924188,545,2396,4.39633027522936
2019,4,S08000031,G405H,Elective Inpatients,3,588,2001,3.4030612244898,582,2695,4.63058419243986
2020,1,S08000031,G405H,Elective Inpatients,3,492,1731,3.51829268292683,488,2924,5.99180327868852
2020,2,S08000031,G405H,Elective Inpatients,3,190,731,3.84736842105263,184,1066,5.79347826086957
2020,3,S08000031,G405H,Elective Inpatients,3,320,1026,3.20625,311,1407,4.52411575562701
2020,4,S08000031,G405H,Elective Inpatients,3,375,1252,3.33866666666667,373,1834,4.91689008042895
2021,1,S08000031,G405H,Elective Inpatients,3,331,1023,3.09063444108761,335,1515,4.52238805970149
2021,2,S08000031,G405H,Elective Inpatients,3,446,1311,2.93946188340807,442,1869,4.22850678733032
2016,2,S08000031,G405H,Elective Inpatients,4,560,1703,3.04107142857143,559,2568,4.59391771019678
2016,3,S08000031,G405H,Elective Inpatients,4,590,2615,4.43220338983051,580,2820,4.86206896551724
2016,4,S08000031,G405H,Elective Inpatients,4,609,1927,3.16420361247947,609,2761,4.53366174055829
2017,1,S08000031,G405H,Elective Inpatients,4,488,1143,2.3422131147541,483,2085,4.3167701863354
2017,2,S08000031,G405H,Elective Inpatients,4,544,1563,2.87316176470588,531,1938,3.64971751412429
2017,3,S08000031,G405H,Elective Inpatients,4,527,1501,2.84819734345351,529,2270,4.29111531190926
2017,4,S08000031,G405H,Elective Inpatients,4,568,1571,2.76584507042254,568,2768,4.87323943661972
2018,1,S08000031,G405H,Elective Inpatients,4,509,1485,2.91748526522593,502,2138,4.25896414342629
2018,2,S08000031,G405H,Elective Inpatients,4,556,1687,3.0341726618705,545,2496,4.57981651376147
2018,3,S08000031,G405H,Elective Inpatients,4,555,1764,3.17837837837838,556,2894,5.20503597122302
2018,4,S08000031,G405H,Elective Inpatients,4,505,1662,3.29108910891089,509,2738,5.37917485265226
2019,1,S08000031,G405H,Elective Inpatients,4,536,1407,2.625,527,2235,4.24098671726755
2019,2,S08000031,G405H,Elective Inpatients,4,533,1579,2.9624765478424,530,3750,7.07547169811321
2019,3,S08000031,G405H,Elective Inpatients,4,543,1789,3.29465930018416,549,2780,5.06375227686703
2019,4,S08000031,G405H,Elective Inpatients,4,499,1422,2.8496993987976,494,1974,3.99595141700405
2020,1,S08000031,G405H,Elective Inpatients,4,457,1403,3.07002188183807,453,1998,4.41059602649007
2021,2,S08000031,C418H,Elective Inpatients,NA,0,5,NA,0,5,NA
2020,2,S08000031,G405H,Elective Inpatients,4,178,694,3.8988764044943802,175,1186,6.77714285714286
2020,3,S08000031,G405H,Elective Inpatients,4,302,1071,3.54635761589404,303,1535,5.06600660066007
2020,4,S08000031,G405H,Elective Inpatients,4,396,1314,3.31818181818182,398,1767,4.43969849246231
2021,1,S08000031,G405H,Elective Inpatients,4,350,960,2.74285714285714,351,1410,4.01709401709402
2021,2,S08000031,G405H,Elective Inpatients,4,449,1515,3.37416481069042,439,1910,4.35079726651481
2016,2,S08000031,G405H,Elective Inpatients,5,698,2053,2.94126074498567,697,3354,4.81205164992826
2016,3,S08000031,G405H,Elective Inpatients,5,700,2090,2.98571428571429,694,3010,4.3371757925072
2016,4,S08000031,G405H,Elective Inpatients,5,727,2214,3.04539202200825,729,3532,4.84499314128944
2017,1,S08000031,G405H,Elective Inpatients,5,724,2101,2.90193370165746,715,3457,4.83496503496503
2017,2,S08000031,G405H,Elective Inpatients,5,730,2074,2.84109589041096,745,3952,5.30469798657718
2017,3,S08000031,G405H,Elective Inpatients,5,704,1970,2.79829545454545,702,2683,3.82193732193732
2017,4,S08000031,G405H,Elective Inpatients,5,734,1891,2.57629427792916,733,2435,3.32196452933151
2018,1,S08000031,G405H,Elective Inpatients,5,637,1682,2.64050235478807,642,2654,4.13395638629283
2018,2,S08000031,G405H,Elective Inpatients,5,648,1759,2.71450617283951,639,2391,3.74178403755869
2018,3,S08000031,G405H,Elective Inpatients,5,687,2138,3.11208151382824,691,2956,4.27785817655572
2018,4,S08000031,G405H,Elective Inpatients,5,601,2019,3.35940099833611,601,2724,4.5324459234609
2019,1,S08000031,G405H,Elective Inpatients,5,683,2126,3.11273792093704,670,2491,3.71791044776119
2019,2,S08000031,G405H,Elective Inpatients,5,674,1924,2.85459940652819,677,2833,4.18463810930576
2019,3,S08000031,G405H,Elective Inpatients,5,666,2027,3.04354354354354,667,2890,4.3328335832084
2019,4,S08000031,G405H,Elective Inpatients,5,694,1891,2.72478386167147,696,2532,3.63793103448276
2020,1,S08000031,G405H,Elective Inpatients,5,620,1562,2.51935483870968,617,2164,3.50729335494327
2020,2,S08000031,G405H,Elective Inpatients,5,178,521,2.92696629213483,174,834,4.79310344827586
2020,3,S08000031,G405H,Elective Inpatients,5,437,1127,2.57894736842105,440,1734,3.94090909090909
2020,4,S08000031,G405H,Elective Inpatients,5,466,1422,3.05150214592275,464,1884,4.06034482758621
2019,1,SB0801,D102H,All Day cases,NA,0,0,NA,0,0,NA
2021,1,S08000031,G405H,Elective Inpatients,5,461,1140,2.47288503253796,458,1676,3.65938864628821
2021,2,S08000031,G405H,Elective Inpatients,5,518,1456,2.81081081081081,526,2309,4.38973384030418
2016,2,S08000031,G405H,Elective Inpatients,NA,10,21,2.1,5,20,4
2016,3,S08000031,G405H,Elective Inpatients,NA,15,25,1.66666666666667,15,51,3.4
2016,4,S08000031,G405H,Elective Inpatients,NA,5,5,1,5,5,1
2017,1,S08000031,G405H,Elective Inpatients,NA,5,7,1.4,5,10,2
2017,2,S08000031,G405H,Elective Inpatients,NA,10,31,3.1,10,70,7
2017,3,S08000031,G405H,Elective Inpatients,NA,10,29,2.9,5,28,5.6
2017,4,S08000031,G405H,Elective Inpatients,NA,10,18,1.8,11,21,1.90909090909091
2018,1,S08000031,G405H,Elective Inpatients,NA,10,41,4.1,10,42,4.2
2018,2,S08000031,G405H,Elective Inpatients,NA,5,8,1.6,5,8,1.6
2018,3,S08000031,G405H,Elective Inpatients,NA,10,19,1.9,10,24,2.4
2018,4,S08000031,G405H,Elective Inpatients,NA,5,28,5.6,5,35,7
2019,1,S08000031,G405H,Elective Inpatients,NA,5,6,1.2,5,5,1
2019,2,S08000031,G405H,Elective Inpatients,NA,10,25,2.5,10,44,4.4
2019,3,S08000031,G405H,Elective Inpatients,NA,5,56,11.2,5,56,11.2
2019,4,S08000031,G405H,Elective Inpatients,NA,0,5,NA,0,5,NA
2020,1,S08000031,G405H,Elective Inpatients,NA,5,15,3,0,5,NA
2020,2,S08000031,G405H,Elective Inpatients,NA,0,0,NA,0,0,NA
2020,3,S08000031,G405H,Elective Inpatients,NA,0,5,NA,0,5,NA
2021,1,S08000031,G405H,Elective Inpatients,NA,0,0,NA,0,0,NA
2021,2,S08000031,G405H,Elective Inpatients,NA,5,5,1,5,5,1
2016,2,S08000031,C418H,Elective Inpatients,1,543,937,1.7255985267035,550,1742,3.16727272727273
2016,3,S08000031,C418H,Elective Inpatients,1,483,701,1.45134575569358,485,1189,2.45154639175258
2016,4,S08000031,C418H,Elective Inpatients,1,495,742,1.4989898989899,504,1397,2.7718253968254
2017,1,S08000031,C418H,Elective Inpatients,1,514,575,1.11867704280156,520,1092,2.1
2017,2,S08000031,C418H,Elective Inpatients,1,397,697,1.75566750629723,394,1021,2.59137055837563
2017,3,S08000031,C418H,Elective Inpatients,1,281,669,2.38078291814947,277,1064,3.84115523465704
2017,4,S08000031,C418H,Elective Inpatients,1,219,464,2.11872146118721,226,722,3.19469026548673
2018,1,S08000031,C418H,Elective Inpatients,1,252,501,1.98809523809524,258,716,2.77519379844961
2018,2,S08000031,C418H,Elective Inpatients,1,284,562,1.97887323943662,284,741,2.60915492957746
2018,3,S08000031,C418H,Elective Inpatients,1,319,600,1.88087774294671,316,721,2.28164556962025
2018,4,S08000031,C418H,Elective Inpatients,1,257,515,2.00389105058366,260,792,3.04615384615385
2019,1,S08000031,C418H,Elective Inpatients,1,251,623,2.48207171314741,253,643,2.54150197628458
2019,2,S08000031,C418H,Elective Inpatients,1,291,542,1.86254295532646,295,986,3.34237288135593
2019,3,S08000031,C418H,Elective Inpatients,1,256,479,1.87109375,261,616,2.36015325670498
2019,4,S08000031,C418H,Elective Inpatients,1,212,478,2.25471698113208,210,696,3.31428571428571
2020,1,S08000031,C418H,Elective Inpatients,1,171,339,1.98245614035088,174,530,3.04597701149425
2020,2,S08000031,C418H,Elective Inpatients,1,34,62,1.82352941176471,31,64,2.06451612903226
2020,3,S08000031,C418H,Elective Inpatients,1,91,169,1.85714285714286,95,291,3.06315789473684
2020,4,S08000031,C418H,Elective Inpatients,1,132,238,1.8030303030303,130,309,2.37692307692308
