local_authority,date_code,measurement,value,sex,age
East Lothian,2014-2016,Count,12.72,Female,75-79 years
East Lothian,2014-2016,95% Upper Confidence Limit,8.38,Male,80-84 years
East Lothian,2014-2016,Count,7.99,Male,80-84 years
East Lothian,2014-2016,95% Lower Confidence Limit,7.61,Male,80-84 years
East Lothian,2014-2016,Count,9.18,Female,80-84 years
East Lothian,2014-2016,95% Upper Confidence Limit,9.53,Female,80-84 years
East Lothian,2014-2016,95% Lower Confidence Limit,8.84,Female,80-84 years
East Lothian,2014-2016,95% Lower Confidence Limit,5.41,Male,85-89 years
East Lothian,2014-2016,Count,5.83,Male,85-89 years
East Lothian,2014-2016,95% Upper Confidence Limit,6.25,Male,85-89 years
East Lothian,2014-2016,Count,6.38,Female,85-89 years
East Lothian,2014-2016,95% Lower Confidence Limit,6.03,Female,85-89 years
East Lothian,2014-2016,95% Upper Confidence Limit,6.73,Female,85-89 years
East Lothian,2014-2016,95% Lower Confidence Limit,3.42,Male,90 years
East Lothian,2014-2016,Count,4.01,Male,90 years
East Lothian,2014-2016,95% Upper Confidence Limit,4.59,Male,90 years
East Lothian,2014-2016,95% Lower Confidence Limit,4,Female,90 years
East Lothian,2014-2016,Count,4.45,Female,90 years
East Lothian,2014-2016,95% Upper Confidence Limit,4.89,Female,90 years
East Lothian,2015-2017,95% Lower Confidence Limit,77.58,Male,0 years
East Lothian,2015-2017,95% Upper Confidence Limit,78.98,Male,0 years
East Lothian,2015-2017,Count,78.28,Male,0 years
East Lothian,2015-2017,95% Upper Confidence Limit,83.08,Female,0 years
East Lothian,2015-2017,Count,82.52,Female,0 years
East Lothian,2015-2017,95% Lower Confidence Limit,81.95,Female,0 years
East Lothian,2015-2017,95% Lower Confidence Limit,77.07,Male,1-4 years
East Lothian,2015-2017,95% Upper Confidence Limit,78.36,Male,1-4 years
East Lothian,2015-2017,Count,77.72,Male,1-4 years
East Lothian,2015-2017,95% Upper Confidence Limit,82.17,Female,1-4 years
East Lothian,2015-2017,Count,81.62,Female,1-4 years
East Lothian,2015-2017,95% Lower Confidence Limit,81.07,Female,1-4 years
East Lothian,2015-2017,95% Lower Confidence Limit,73.12,Male,5-9 years
East Lothian,2015-2017,95% Upper Confidence Limit,74.4,Male,5-9 years
East Lothian,2015-2017,Count,73.76,Male,5-9 years
East Lothian,2015-2017,95% Upper Confidence Limit,78.17,Female,5-9 years
East Lothian,2015-2017,Count,77.62,Female,5-9 years
East Lothian,2015-2017,95% Lower Confidence Limit,77.07,Female,5-9 years
East Lothian,2015-2017,95% Lower Confidence Limit,68.12,Male,10-14 years
East Lothian,2015-2017,95% Upper Confidence Limit,69.4,Male,10-14 years
East Lothian,2015-2017,Count,68.76,Male,10-14 years
East Lothian,2015-2017,95% Upper Confidence Limit,73.17,Female,10-14 years
East Lothian,2015-2017,Count,72.62,Female,10-14 years
East Lothian,2015-2017,95% Lower Confidence Limit,72.07,Female,10-14 years
East Lothian,2015-2017,95% Lower Confidence Limit,63.12,Male,15-19 years
East Lothian,2015-2017,95% Upper Confidence Limit,64.4,Male,15-19 years
East Lothian,2015-2017,Count,63.76,Male,15-19 years
East Lothian,2015-2017,95% Upper Confidence Limit,68.17,Female,15-19 years
East Lothian,2015-2017,Count,67.62,Female,15-19 years
East Lothian,2015-2017,95% Lower Confidence Limit,67.07,Female,15-19 years
East Lothian,2015-2017,95% Lower Confidence Limit,58.24,Male,20-24 years
East Lothian,2015-2017,95% Upper Confidence Limit,59.49,Male,20-24 years
East Lothian,2015-2017,Count,58.86,Male,20-24 years
East Lothian,2015-2017,95% Upper Confidence Limit,63.2,Female,20-24 years
East Lothian,2015-2017,Count,62.66,Female,20-24 years
East Lothian,2015-2017,95% Lower Confidence Limit,62.12,Female,20-24 years
East Lothian,2015-2017,95% Lower Confidence Limit,53.34,Male,25-29 years
East Lothian,2015-2017,95% Upper Confidence Limit,54.58,Male,25-29 years
East Lothian,2015-2017,Count,53.96,Male,25-29 years
East Lothian,2015-2017,95% Upper Confidence Limit,58.32,Female,25-29 years
East Lothian,2015-2017,Count,57.79,Female,25-29 years
East Lothian,2015-2017,95% Lower Confidence Limit,57.26,Female,25-29 years
East Lothian,2015-2017,95% Lower Confidence Limit,48.71,Male,30-34 years
East Lothian,2015-2017,95% Upper Confidence Limit,49.89,Male,30-34 years
East Lothian,2015-2017,Count,49.3,Male,30-34 years
East Lothian,2015-2017,95% Upper Confidence Limit,53.46,Female,30-34 years
East Lothian,2015-2017,Count,52.95,Female,30-34 years
East Lothian,2015-2017,95% Lower Confidence Limit,52.44,Female,30-34 years
East Lothian,2015-2017,95% Upper Confidence Limit,45.28,Male,35-39 years
East Lothian,2015-2017,95% Lower Confidence Limit,44.18,Male,35-39 years
East Lothian,2015-2017,Count,44.73,Male,35-39 years
East Lothian,2015-2017,95% Upper Confidence Limit,48.54,Female,35-39 years
East Lothian,2015-2017,Count,48.04,Female,35-39 years
East Lothian,2015-2017,95% Lower Confidence Limit,47.54,Female,35-39 years
East Lothian,2015-2017,95% Lower Confidence Limit,39.54,Male,40-44 years
East Lothian,2015-2017,95% Upper Confidence Limit,40.59,Male,40-44 years
East Lothian,2015-2017,Count,40.07,Male,40-44 years
East Lothian,2015-2017,95% Upper Confidence Limit,43.74,Female,40-44 years
East Lothian,2015-2017,Count,43.25,Female,40-44 years
East Lothian,2015-2017,95% Lower Confidence Limit,42.77,Female,40-44 years
East Lothian,2015-2017,95% Lower Confidence Limit,34.98,Male,45-49 years
East Lothian,2015-2017,95% Upper Confidence Limit,35.98,Male,45-49 years
East Lothian,2015-2017,Count,35.48,Male,45-49 years
East Lothian,2015-2017,95% Upper Confidence Limit,38.96,Female,45-49 years
East Lothian,2015-2017,Count,38.49,Female,45-49 years
East Lothian,2015-2017,95% Lower Confidence Limit,38.02,Female,45-49 years
East Lothian,2015-2017,95% Lower Confidence Limit,30.35,Male,50-54 years
East Lothian,2015-2017,95% Upper Confidence Limit,31.31,Male,50-54 years
East Lothian,2015-2017,Count,30.83,Male,50-54 years
East Lothian,2015-2017,95% Upper Confidence Limit,34.24,Female,50-54 years
East Lothian,2015-2017,Count,33.78,Female,50-54 years
East Lothian,2015-2017,95% Lower Confidence Limit,33.33,Female,50-54 years
East Lothian,2015-2017,95% Lower Confidence Limit,25.95,Male,55-59 years
East Lothian,2015-2017,95% Upper Confidence Limit,26.88,Male,55-59 years
East Lothian,2015-2017,Count,26.42,Male,55-59 years
East Lothian,2015-2017,95% Upper Confidence Limit,29.67,Female,55-59 years
East Lothian,2015-2017,Count,29.23,Female,55-59 years
East Lothian,2015-2017,95% Lower Confidence Limit,28.79,Female,55-59 years
East Lothian,2015-2017,95% Upper Confidence Limit,22.46,Male,60-64 years
East Lothian,2015-2017,95% Lower Confidence Limit,21.57,Male,60-64 years
East Lothian,2015-2017,Count,22.01,Male,60-64 years
East Lothian,2015-2017,95% Upper Confidence Limit,25.15,Female,60-64 years
East Lothian,2015-2017,Count,24.73,Female,60-64 years
East Lothian,2015-2017,95% Lower Confidence Limit,24.31,Female,60-64 years
East Lothian,2015-2017,95% Lower Confidence Limit,17.54,Male,65-69 years
East Lothian,2015-2017,95% Upper Confidence Limit,18.39,Male,65-69 years
East Lothian,2015-2017,Count,17.96,Male,65-69 years
East Lothian,2015-2017,95% Upper Confidence Limit,20.78,Female,65-69 years
East Lothian,2015-2017,Count,20.38,Female,65-69 years
East Lothian,2015-2017,95% Lower Confidence Limit,19.99,Female,65-69 years
East Lothian,2015-2017,95% Lower Confidence Limit,13.88,Male,70-74 years
East Lothian,2015-2017,95% Upper Confidence Limit,14.68,Male,70-74 years
East Lothian,2015-2017,Count,14.28,Male,70-74 years
East Lothian,2015-2017,95% Upper Confidence Limit,16.71,Female,70-74 years
East Lothian,2015-2017,95% Lower Confidence Limit,15.97,Female,70-74 years
East Lothian,2015-2017,Count,16.34,Female,70-74 years
East Lothian,2015-2017,95% Lower Confidence Limit,10.47,Male,75-79 years
East Lothian,2015-2017,95% Upper Confidence Limit,11.24,Male,75-79 years
East Lothian,2015-2017,Count,10.85,Male,75-79 years
East Lothian,2015-2017,95% Upper Confidence Limit,12.83,Female,75-79 years
East Lothian,2015-2017,Count,12.48,Female,75-79 years
East Lothian,2015-2017,95% Lower Confidence Limit,12.13,Female,75-79 years
East Lothian,2015-2017,95% Upper Confidence Limit,8.39,Male,80-84 years
East Lothian,2015-2017,95% Lower Confidence Limit,7.65,Male,80-84 years
East Lothian,2015-2017,Count,8.02,Male,80-84 years
East Lothian,2015-2017,95% Upper Confidence Limit,9.36,Female,80-84 years
East Lothian,2015-2017,Count,9.04,Female,80-84 years
East Lothian,2015-2017,95% Lower Confidence Limit,8.71,Female,80-84 years
East Lothian,2015-2017,95% Upper Confidence Limit,6.07,Male,85-89 years
East Lothian,2015-2017,95% Lower Confidence Limit,5.29,Male,85-89 years
East Lothian,2015-2017,Count,5.68,Male,85-89 years
East Lothian,2015-2017,95% Upper Confidence Limit,6.56,Female,85-89 years
East Lothian,2015-2017,Count,6.25,Female,85-89 years
East Lothian,2015-2017,95% Lower Confidence Limit,5.94,Female,85-89 years
East Lothian,2015-2017,95% Lower Confidence Limit,3.33,Male,90 years
East Lothian,2015-2017,95% Upper Confidence Limit,4.4,Male,90 years
East Lothian,2015-2017,Count,3.86,Male,90 years
East Lothian,2015-2017,95% Upper Confidence Limit,4.35,Female,90 years
East Lothian,2015-2017,95% Lower Confidence Limit,3.6,Female,90 years
East Lothian,2015-2017,Count,3.97,Female,90 years
East Lothian,2016-2018,95% Upper Confidence Limit,79.34,Male,0 years
East Lothian,2016-2018,Count,78.64,Male,0 years
East Lothian,2016-2018,95% Lower Confidence Limit,77.94,Male,0 years
East Lothian,2016-2018,95% Upper Confidence Limit,82.95,Female,0 years
East Lothian,2016-2018,95% Lower Confidence Limit,81.79,Female,0 years
East Lothian,2016-2018,Count,82.37,Female,0 years
East Lothian,2016-2018,95% Upper Confidence Limit,78.72,Male,1-4 years
East Lothian,2016-2018,Count,78.07,Male,1-4 years
East Lothian,2016-2018,95% Lower Confidence Limit,77.42,Male,1-4 years
East Lothian,2016-2018,95% Upper Confidence Limit,82.08,Female,1-4 years
East Lothian,2016-2018,95% Lower Confidence Limit,80.98,Female,1-4 years
East Lothian,2016-2018,Count,81.53,Female,1-4 years
East Lothian,2016-2018,95% Upper Confidence Limit,74.72,Male,5-9 years
East Lothian,2016-2018,Count,74.07,Male,5-9 years
East Lothian,2016-2018,95% Lower Confidence Limit,73.42,Male,5-9 years
East Lothian,2016-2018,95% Upper Confidence Limit,78.08,Female,5-9 years
East Lothian,2016-2018,95% Lower Confidence Limit,76.98,Female,5-9 years
East Lothian,2016-2018,Count,77.53,Female,5-9 years
East Lothian,2016-2018,95% Upper Confidence Limit,69.78,Male,10-14 years
East Lothian,2016-2018,Count,69.14,Male,10-14 years
East Lothian,2016-2018,95% Lower Confidence Limit,68.5,Male,10-14 years
East Lothian,2016-2018,95% Upper Confidence Limit,73.08,Female,10-14 years
East Lothian,2016-2018,95% Lower Confidence Limit,71.98,Female,10-14 years
East Lothian,2016-2018,Count,72.53,Female,10-14 years
East Lothian,2016-2018,95% Upper Confidence Limit,64.81,Male,15-19 years
East Lothian,2016-2018,Count,64.18,Male,15-19 years
East Lothian,2016-2018,95% Lower Confidence Limit,63.54,Male,15-19 years
East Lothian,2016-2018,95% Upper Confidence Limit,68.12,Female,15-19 years
East Lothian,2016-2018,95% Lower Confidence Limit,67.03,Female,15-19 years
East Lothian,2016-2018,Count,67.57,Female,15-19 years
East Lothian,2016-2018,95% Upper Confidence Limit,59.88,Male,20-24 years
East Lothian,2016-2018,Count,59.25,Male,20-24 years
East Lothian,2016-2018,95% Lower Confidence Limit,58.62,Male,20-24 years
East Lothian,2016-2018,95% Upper Confidence Limit,63.12,Female,20-24 years
East Lothian,2016-2018,95% Lower Confidence Limit,62.03,Female,20-24 years
East Lothian,2016-2018,Count,62.57,Female,20-24 years
East Lothian,2016-2018,95% Upper Confidence Limit,55.03,Male,25-29 years
East Lothian,2016-2018,Count,54.41,Male,25-29 years
East Lothian,2016-2018,95% Lower Confidence Limit,53.8,Male,25-29 years
East Lothian,2016-2018,95% Upper Confidence Limit,58.24,Female,25-29 years
East Lothian,2016-2018,95% Lower Confidence Limit,57.18,Female,25-29 years
East Lothian,2016-2018,Count,57.71,Female,25-29 years
East Lothian,2016-2018,95% Upper Confidence Limit,50.3,Male,30-34 years
East Lothian,2016-2018,Count,49.71,Male,30-34 years
East Lothian,2016-2018,95% Lower Confidence Limit,49.12,Male,30-34 years
East Lothian,2016-2018,95% Upper Confidence Limit,53.35,Female,30-34 years
East Lothian,2016-2018,95% Lower Confidence Limit,52.32,Female,30-34 years
East Lothian,2016-2018,Count,52.83,Female,30-34 years
East Lothian,2016-2018,95% Upper Confidence Limit,45.63,Male,35-39 years
East Lothian,2016-2018,Count,45.08,Male,35-39 years
East Lothian,2016-2018,95% Lower Confidence Limit,44.52,Male,35-39 years
East Lothian,2016-2018,95% Upper Confidence Limit,48.43,Female,35-39 years
East Lothian,2016-2018,95% Lower Confidence Limit,47.41,Female,35-39 years
East Lothian,2016-2018,Count,47.92,Female,35-39 years
East Lothian,2016-2018,95% Upper Confidence Limit,40.99,Male,40-44 years
East Lothian,2016-2018,Count,40.46,Male,40-44 years
East Lothian,2016-2018,95% Lower Confidence Limit,39.94,Male,40-44 years
East Lothian,2016-2018,95% Upper Confidence Limit,43.71,Female,40-44 years
East Lothian,2016-2018,95% Lower Confidence Limit,42.73,Female,40-44 years
East Lothian,2016-2018,Count,43.22,Female,40-44 years
East Lothian,2016-2018,95% Upper Confidence Limit,36.37,Male,45-49 years
East Lothian,2016-2018,Count,35.87,Male,45-49 years
East Lothian,2016-2018,95% Lower Confidence Limit,35.37,Male,45-49 years
East Lothian,2016-2018,95% Upper Confidence Limit,38.88,Female,45-49 years
East Lothian,2016-2018,95% Lower Confidence Limit,37.93,Female,45-49 years
East Lothian,2016-2018,Count,38.4,Female,45-49 years
East Lothian,2016-2018,95% Upper Confidence Limit,31.72,Male,50-54 years
East Lothian,2016-2018,Count,31.23,Male,50-54 years
East Lothian,2016-2018,95% Lower Confidence Limit,30.75,Male,50-54 years
East Lothian,2016-2018,95% Upper Confidence Limit,34.13,Female,50-54 years
East Lothian,2016-2018,95% Lower Confidence Limit,33.21,Female,50-54 years
East Lothian,2016-2018,Count,33.67,Female,50-54 years
East Lothian,2016-2018,95% Upper Confidence Limit,27.25,Male,55-59 years
East Lothian,2016-2018,Count,26.79,Male,55-59 years
East Lothian,2016-2018,95% Lower Confidence Limit,26.32,Male,55-59 years
East Lothian,2016-2018,95% Upper Confidence Limit,29.54,Female,55-59 years
East Lothian,2016-2018,95% Lower Confidence Limit,28.65,Female,55-59 years
East Lothian,2016-2018,Count,29.1,Female,55-59 years
East Lothian,2016-2018,95% Upper Confidence Limit,22.84,Male,60-64 years
East Lothian,2016-2018,Count,22.39,Male,60-64 years
East Lothian,2016-2018,95% Lower Confidence Limit,21.94,Male,60-64 years
East Lothian,2016-2018,95% Upper Confidence Limit,25,Female,60-64 years
East Lothian,2016-2018,95% Lower Confidence Limit,24.13,Female,60-64 years
East Lothian,2016-2018,Count,24.56,Female,60-64 years
East Lothian,2016-2018,95% Upper Confidence Limit,18.71,Male,65-69 years
East Lothian,2016-2018,Count,18.29,Male,65-69 years
East Lothian,2016-2018,95% Lower Confidence Limit,17.86,Male,65-69 years
East Lothian,2016-2018,95% Upper Confidence Limit,20.71,Female,65-69 years
East Lothian,2016-2018,95% Lower Confidence Limit,19.89,Female,65-69 years
East Lothian,2016-2018,Count,20.3,Female,65-69 years
East Lothian,2016-2018,95% Upper Confidence Limit,14.95,Male,70-74 years
East Lothian,2016-2018,Count,14.55,Male,70-74 years
East Lothian,2016-2018,95% Lower Confidence Limit,14.14,Male,70-74 years
East Lothian,2016-2018,95% Upper Confidence Limit,16.78,Female,70-74 years
East Lothian,2016-2018,95% Lower Confidence Limit,16.02,Female,70-74 years
East Lothian,2016-2018,Count,16.4,Female,70-74 years
East Lothian,2016-2018,95% Upper Confidence Limit,11.46,Male,75-79 years
East Lothian,2016-2018,Count,11.07,Male,75-79 years
East Lothian,2016-2018,95% Lower Confidence Limit,10.68,Male,75-79 years
East Lothian,2016-2018,95% Upper Confidence Limit,13.06,Female,75-79 years
East Lothian,2016-2018,95% Lower Confidence Limit,12.35,Female,75-79 years
East Lothian,2016-2018,Count,12.7,Female,75-79 years
East Lothian,2016-2018,95% Upper Confidence Limit,8.6,Male,80-84 years
East Lothian,2016-2018,Count,8.22,Male,80-84 years
East Lothian,2016-2018,95% Lower Confidence Limit,7.84,Male,80-84 years
East Lothian,2016-2018,95% Upper Confidence Limit,9.62,Female,80-84 years
East Lothian,2016-2018,95% Lower Confidence Limit,8.96,Female,80-84 years
East Lothian,2016-2018,Count,9.29,Female,80-84 years
East Lothian,2016-2018,95% Upper Confidence Limit,6.18,Male,85-89 years
East Lothian,2016-2018,Count,5.78,Male,85-89 years
East Lothian,2016-2018,95% Lower Confidence Limit,5.38,Male,85-89 years
East Lothian,2016-2018,95% Upper Confidence Limit,6.77,Female,85-89 years
East Lothian,2016-2018,95% Lower Confidence Limit,6.12,Female,85-89 years
East Lothian,2016-2018,Count,6.45,Female,85-89 years
East Lothian,2016-2018,95% Upper Confidence Limit,4.55,Male,90 years
East Lothian,2016-2018,Count,4,Male,90 years
East Lothian,2016-2018,95% Lower Confidence Limit,3.44,Male,90 years
East Lothian,2016-2018,95% Upper Confidence Limit,4.45,Female,90 years
East Lothian,2016-2018,95% Lower Confidence Limit,3.67,Female,90 years
East Lothian,2016-2018,Count,4.06,Female,90 years
East Lothian,2017-2019,95% Upper Confidence Limit,79.76042,Male,0 years
East Lothian,2017-2019,Count,79.08954,Male,0 years
East Lothian,2017-2019,95% Lower Confidence Limit,78.41865,Male,0 years
East Lothian,2017-2019,95% Lower Confidence Limit,82.14849,Female,0 years
East Lothian,2017-2019,95% Upper Confidence Limit,83.28604,Female,0 years
East Lothian,2017-2019,Count,82.71726,Female,0 years
East Lothian,2017-2019,95% Upper Confidence Limit,79.01363,Male,1-4 years
East Lothian,2017-2019,Count,78.38256,Male,1-4 years
East Lothian,2017-2019,95% Lower Confidence Limit,77.75149,Male,1-4 years
East Lothian,2017-2019,95% Lower Confidence Limit,81.35039,Female,1-4 years
East Lothian,2017-2019,95% Upper Confidence Limit,82.4235,Female,1-4 years
East Lothian,2017-2019,Count,81.88694,Female,1-4 years
East Lothian,2017-2019,Count,74.38256,Male,5-9 years
East Lothian,2017-2019,95% Lower Confidence Limit,73.75149,Male,5-9 years
East Lothian,2017-2019,95% Upper Confidence Limit,75.01363,Male,5-9 years
East Lothian,2017-2019,95% Upper Confidence Limit,78.4235,Female,5-9 years
East Lothian,2017-2019,Count,77.88694,Female,5-9 years
East Lothian,2017-2019,95% Lower Confidence Limit,77.35039,Female,5-9 years
East Lothian,2017-2019,Count,69.4926,Male,10-14 years
East Lothian,2017-2019,95% Lower Confidence Limit,68.87297,Male,10-14 years
East Lothian,2017-2019,95% Upper Confidence Limit,70.11223,Male,10-14 years
East Lothian,2017-2019,95% Lower Confidence Limit,72.35039,Female,10-14 years
East Lothian,2017-2019,95% Upper Confidence Limit,73.4235,Female,10-14 years
East Lothian,2017-2019,Count,72.88694,Female,10-14 years
East Lothian,2017-2019,Count,64.52714,Male,15-19 years
East Lothian,2017-2019,95% Lower Confidence Limit,63.9109,Male,15-19 years
East Lothian,2017-2019,95% Upper Confidence Limit,65.14338,Male,15-19 years
East Lothian,2017-2019,95% Upper Confidence Limit,68.45769,Female,15-19 years
East Lothian,2017-2019,Count,67.92645,Female,15-19 years
East Lothian,2017-2019,95% Lower Confidence Limit,67.39521,Female,15-19 years
East Lothian,2017-2019,Count,59.6398,Male,20-24 years
East Lothian,2017-2019,95% Upper Confidence Limit,60.24383,Male,20-24 years
East Lothian,2017-2019,95% Lower Confidence Limit,59.03577,Male,20-24 years
East Lothian,2017-2019,Count,62.92645,Female,20-24 years
East Lothian,2017-2019,95% Upper Confidence Limit,63.45769,Female,20-24 years
East Lothian,2017-2019,95% Lower Confidence Limit,62.39521,Female,20-24 years
East Lothian,2017-2019,95% Lower Confidence Limit,54.28681,Male,25-29 years
East Lothian,2017-2019,95% Upper Confidence Limit,55.45104,Male,25-29 years
East Lothian,2017-2019,Count,54.86892,Male,25-29 years
East Lothian,2017-2019,Count,57.99908,Female,25-29 years
East Lothian,2017-2019,95% Upper Confidence Limit,58.52134,Female,25-29 years
East Lothian,2017-2019,95% Lower Confidence Limit,57.47682,Female,25-29 years
East Lothian,2017-2019,95% Upper Confidence Limit,50.59683,Male,30-34 years
East Lothian,2017-2019,95% Lower Confidence Limit,49.46394,Male,30-34 years
East Lothian,2017-2019,Count,50.03038,Male,30-34 years
East Lothian,2017-2019,95% Lower Confidence Limit,52.60852,Female,30-34 years
East Lothian,2017-2019,Count,53.1186,Female,30-34 years
East Lothian,2017-2019,95% Upper Confidence Limit,53.62868,Female,30-34 years
East Lothian,2017-2019,Count,45.3314,Male,35-39 years
East Lothian,2017-2019,95% Upper Confidence Limit,45.86983,Male,35-39 years
East Lothian,2017-2019,95% Lower Confidence Limit,44.79297,Male,35-39 years
East Lothian,2017-2019,95% Lower Confidence Limit,47.66992,Female,35-39 years
East Lothian,2017-2019,Count,48.17462,Female,35-39 years
East Lothian,2017-2019,95% Upper Confidence Limit,48.67932,Female,35-39 years
East Lothian,2017-2019,Count,40.6845,Male,40-44 years
East Lothian,2017-2019,95% Upper Confidence Limit,41.19461,Male,40-44 years
East Lothian,2017-2019,95% Lower Confidence Limit,40.1744,Male,40-44 years
East Lothian,2017-2019,Count,43.49434,Female,40-44 years
East Lothian,2017-2019,95% Lower Confidence Limit,43.0147,Female,40-44 years
East Lothian,2017-2019,95% Upper Confidence Limit,43.97398,Female,40-44 years
East Lothian,2017-2019,Count,36.05076,Male,45-49 years
East Lothian,2017-2019,95% Lower Confidence Limit,35.56463,Male,45-49 years
East Lothian,2017-2019,95% Upper Confidence Limit,36.53689,Male,45-49 years
East Lothian,2017-2019,Count,38.71841,Female,45-49 years
East Lothian,2017-2019,95% Lower Confidence Limit,38.25479,Female,45-49 years
East Lothian,2017-2019,95% Upper Confidence Limit,39.18203,Female,45-49 years
East Lothian,2017-2019,Count,31.39907,Male,50-54 years
East Lothian,2017-2019,95% Upper Confidence Limit,31.86894,Male,50-54 years
East Lothian,2017-2019,95% Lower Confidence Limit,30.92919,Male,50-54 years
East Lothian,2017-2019,Count,33.91199,Female,50-54 years
East Lothian,2017-2019,95% Upper Confidence Limit,34.36599,Female,50-54 years
East Lothian,2017-2019,95% Lower Confidence Limit,33.45799,Female,50-54 years
East Lothian,2017-2019,95% Lower Confidence Limit,26.42246,Male,55-59 years
East Lothian,2017-2019,95% Upper Confidence Limit,27.32883,Male,55-59 years
East Lothian,2017-2019,Count,26.87565,Male,55-59 years
East Lothian,2017-2019,95% Upper Confidence Limit,29.67807,Female,55-59 years
East Lothian,2017-2019,95% Lower Confidence Limit,28.79424,Female,55-59 years
East Lothian,2017-2019,Count,29.23616,Female,55-59 years
East Lothian,2017-2019,Count,22.5221,Male,60-64 years
East Lothian,2017-2019,95% Lower Confidence Limit,22.0869,Male,60-64 years
East Lothian,2017-2019,95% Upper Confidence Limit,22.95731,Male,60-64 years
East Lothian,2017-2019,Count,24.65918,Female,60-64 years
East Lothian,2017-2019,95% Lower Confidence Limit,24.23068,Female,60-64 years
East Lothian,2017-2019,95% Upper Confidence Limit,25.08768,Female,60-64 years
East Lothian,2017-2019,95% Upper Confidence Limit,18.79154,Male,65-69 years
East Lothian,2017-2019,Count,18.37801,Male,65-69 years
East Lothian,2017-2019,95% Lower Confidence Limit,17.96448,Male,65-69 years
East Lothian,2017-2019,Count,20.41077,Female,65-69 years
East Lothian,2017-2019,95% Lower Confidence Limit,20.00497,Female,65-69 years
East Lothian,2017-2019,95% Upper Confidence Limit,20.81657,Female,65-69 years
East Lothian,2017-2019,Count,14.57971,Male,70-74 years
East Lothian,2017-2019,95% Lower Confidence Limit,14.19274,Male,70-74 years
East Lothian,2017-2019,95% Upper Confidence Limit,14.96668,Male,70-74 years
East Lothian,2017-2019,95% Upper Confidence Limit,16.91734,Female,70-74 years
East Lothian,2017-2019,Count,16.54061,Female,70-74 years
East Lothian,2017-2019,95% Lower Confidence Limit,16.16388,Female,70-74 years
East Lothian,2017-2019,95% Upper Confidence Limit,11.35853,Male,75-79 years
East Lothian,2017-2019,95% Lower Confidence Limit,10.61364,Male,75-79 years
East Lothian,2017-2019,Count,10.98609,Male,75-79 years
East Lothian,2017-2019,95% Upper Confidence Limit,13.12672,Female,75-79 years
East Lothian,2017-2019,Count,12.77224,Female,75-79 years
East Lothian,2017-2019,95% Lower Confidence Limit,12.41775,Female,75-79 years
East Lothian,2017-2019,95% Lower Confidence Limit,7.76912,Male,80-84 years
East Lothian,2017-2019,Count,8.12484,Male,80-84 years
East Lothian,2017-2019,95% Upper Confidence Limit,8.48056,Male,80-84 years
East Lothian,2017-2019,95% Upper Confidence Limit,9.68855,Female,80-84 years
East Lothian,2017-2019,95% Lower Confidence Limit,9.02515,Female,80-84 years
East Lothian,2017-2019,Count,9.35685,Female,80-84 years
East Lothian,2017-2019,Count,5.55256,Male,85-89 years
East Lothian,2017-2019,95% Lower Confidence Limit,5.1856,Male,85-89 years
East Lothian,2017-2019,95% Upper Confidence Limit,5.91953,Male,85-89 years
East Lothian,2017-2019,95% Upper Confidence Limit,6.7968,Female,85-89 years
East Lothian,2017-2019,Count,6.47268,Female,85-89 years
East Lothian,2017-2019,95% Lower Confidence Limit,6.14857,Female,85-89 years
East Lothian,2017-2019,95% Upper Confidence Limit,4.38079,Male,90 years
East Lothian,2017-2019,Count,3.86636,Male,90 years
East Lothian,2017-2019,95% Lower Confidence Limit,3.35193,Male,90 years
East Lothian,2017-2019,Count,4.09716,Female,90 years
East Lothian,2017-2019,95% Upper Confidence Limit,4.48807,Female,90 years
East Lothian,2017-2019,95% Lower Confidence Limit,3.70624,Female,90 years
East Renfrewshire,2009-2011,95% Upper Confidence Limit,79.66,Male,0 years
East Renfrewshire,2009-2011,95% Lower Confidence Limit,78.13,Male,0 years
East Renfrewshire,2009-2011,Count,78.89,Male,0 years
East Renfrewshire,2009-2011,Count,82.91,Female,0 years
East Renfrewshire,2009-2011,95% Lower Confidence Limit,82.24,Female,0 years
East Renfrewshire,2009-2011,95% Upper Confidence Limit,83.58,Female,0 years
East Renfrewshire,2009-2011,95% Upper Confidence Limit,78.9,Male,1-4 years
East Renfrewshire,2009-2011,95% Lower Confidence Limit,77.45,Male,1-4 years
East Renfrewshire,2009-2011,Count,78.18,Male,1-4 years
East Renfrewshire,2009-2011,Count,82.23,Female,1-4 years
East Renfrewshire,2009-2011,95% Lower Confidence Limit,81.62,Female,1-4 years
East Renfrewshire,2009-2011,95% Upper Confidence Limit,82.84,Female,1-4 years
East Renfrewshire,2009-2011,95% Lower Confidence Limit,73.45,Male,5-9 years
East Renfrewshire,2009-2011,95% Upper Confidence Limit,74.9,Male,5-9 years
East Renfrewshire,2009-2011,Count,74.18,Male,5-9 years
East Renfrewshire,2009-2011,Count,78.23,Female,5-9 years
East Renfrewshire,2009-2011,95% Lower Confidence Limit,77.62,Female,5-9 years
East Renfrewshire,2009-2011,95% Upper Confidence Limit,78.84,Female,5-9 years
East Renfrewshire,2009-2011,95% Lower Confidence Limit,68.5,Male,10-14 years
East Renfrewshire,2009-2011,95% Upper Confidence Limit,69.94,Male,10-14 years
East Renfrewshire,2009-2011,Count,69.22,Male,10-14 years
East Renfrewshire,2009-2011,Count,73.28,Female,10-14 years
